,wave_height,dominant_period,avg_period,dominant_wave_direction_sin,dominant_wave_direction_cos,wave_height_1.0_h,dominant_period_1.0_h,avg_period_1.0_h,dominant_wave_direction_sin_1.0_h,dominant_wave_direction_cos_1.0_h,wave_height_1.5_h,dominant_period_1.5_h,avg_period_1.5_h,dominant_wave_direction_sin_1.5_h,dominant_wave_direction_cos_1.5_h,wave_height_3.0_h,dominant_period_3.0_h,avg_period_3.0_h,dominant_wave_direction_sin_3.0_h,dominant_wave_direction_cos_3.0_h,wave_height_6.0_h,dominant_period_6.0_h,avg_period_6.0_h,dominant_wave_direction_sin_6.0_h,dominant_wave_direction_cos_6.0_h,wave_height_9.0_h,dominant_period_9.0_h,avg_period_9.0_h,dominant_wave_direction_sin_9.0_h,dominant_wave_direction_cos_9.0_h,score,wind_speed,gust_speed,wind_direction_sin,wind_direction_cos
2014-12-12 06:00:00,2.56,11.76,9.82,-0.6819983600624983,0.7313537016191707,2.52,13.33,9.6,-0.6691306063588581,0.7431448254773942,2.86,13.33,10.22,-0.6018150231520483,0.7986355100472928,2.5,13.33,9.83,-0.5877852522924732,0.8090169943749473,2.68,12.5,9.98,-0.6018150231520483,0.7986355100472928,2.94,13.33,10.56,-0.7193398003386512,0.6946583704589973,6.44,0.6,1.05,0.4107188526134772,0.9117620435770886
2014-12-12 06:30:00,2.46,13.33,9.98,-0.6819983600624983,0.7313537016191707,2.4,13.33,9.99,-0.6691306063588581,0.7431448254773942,2.52,13.33,9.6,-0.6691306063588581,0.7431448254773942,2.69,12.5,9.86,-0.6018150231520483,0.7986355100472928,2.89,14.29,10.42,-0.6018150231520483,0.7986355100472928,2.8,14.29,10.01,-0.7313537016191705,0.6819983600624986,7.266666666666667,0.2799999999999999,0.82,0.6717205893229903,-0.74080459628675
2014-12-12 07:00:00,2.2,12.5,9.79,-0.6819983600624983,0.7313537016191707,2.56,11.76,9.82,-0.6819983600624983,0.7313537016191707,2.4,13.33,9.99,-0.6691306063588581,0.7431448254773942,2.5,13.33,9.81,-0.6819983600624983,0.7313537016191707,2.68,14.29,10.05,-0.5735764363510464,0.8191520442889916,2.71,13.33,9.84,-0.6819983600624983,0.7313537016191707,7.223333333333334,0.2,0.78,0.9727758782093966,-0.2317479034941573
2014-12-12 07:30:00,2.33,11.76,9.75,-0.6819983600624983,0.7313537016191707,2.46,13.33,9.98,-0.6819983600624983,0.7313537016191707,2.56,11.76,9.82,-0.6819983600624983,0.7313537016191707,2.86,13.33,10.22,-0.6018150231520483,0.7986355100472928,2.81,13.33,10.36,-0.6427876096865396,0.7660444431189779,2.67,13.33,9.67,-0.6946583704589976,0.7193398003386509,15.18,0.2799999999999999,0.7,0.8290375725550416,0.5591929034707469
2014-12-12 08:00:00,2.48,11.76,10.13,-0.529919264233205,0.8480480961564258,2.2,12.5,9.79,-0.6819983600624983,0.7313537016191707,2.46,13.33,9.98,-0.6819983600624983,0.7313537016191707,2.52,13.33,9.6,-0.6691306063588581,0.7431448254773942,2.58,14.29,9.85,-0.529919264233205,0.8480480961564258,2.65,14.29,9.92,-0.7193398003386512,0.6946583704589973,4.786666666666666,0.5199999999999999,0.9,-0.9232102171129808,0.3842953226598039
2014-12-12 08:30:00,2.55,13.33,10.29,-0.6018150231520483,0.7986355100472928,2.33,11.76,9.75,-0.6819983600624983,0.7313537016191707,2.2,12.5,9.79,-0.6819983600624983,0.7313537016191707,2.4,13.33,9.99,-0.6691306063588581,0.7431448254773942,2.34,13.33,9.47,-0.544639035015027,0.838670567945424,2.74,14.29,10.23,-0.7313537016191705,0.6819983600624986,5.743333333333333,0.6199999999999999,1.2,-0.992114701314478,-0.1253332335643037
2014-12-12 09:00:00,2.81,12.5,10.6,-0.6293203910498378,0.7771459614569706,2.48,11.76,10.13,-0.529919264233205,0.8480480961564258,2.33,11.76,9.75,-0.6819983600624983,0.7313537016191707,2.56,11.76,9.82,-0.6819983600624983,0.7313537016191707,2.5,13.33,9.83,-0.5877852522924732,0.8090169943749473,2.68,12.5,9.98,-0.6018150231520483,0.7986355100472928,5.090000000000001,1.14,1.4600000000000002,-0.9809551553491916,-0.1942343512199715
2014-12-12 09:30:00,2.41,13.33,10.07,-0.8090169943749476,0.5877852522924729,2.55,13.33,10.29,-0.6018150231520483,0.7986355100472928,2.48,11.76,10.13,-0.529919264233205,0.8480480961564258,2.46,13.33,9.98,-0.6819983600624983,0.7313537016191707,2.69,12.5,9.86,-0.6018150231520483,0.7986355100472928,2.89,14.29,10.42,-0.6018150231520483,0.7986355100472928,6.09,1.72,2.3600000000000003,-0.8941542368393683,-0.4477590878387694
2014-12-12 10:00:00,2.67,13.33,10.46,-0.7660444431189781,0.6427876096865393,2.81,12.5,10.6,-0.6293203910498378,0.7771459614569706,2.55,13.33,10.29,-0.6018150231520483,0.7986355100472928,2.2,12.5,9.79,-0.6819983600624983,0.7313537016191707,2.5,13.33,9.81,-0.6819983600624983,0.7313537016191707,2.68,14.29,10.05,-0.5735764363510464,0.8191520442889916,7.466666666666666,1.3,1.7,-0.9897762309077888,-0.1426289337055118
2014-12-12 10:30:00,2.66,12.5,10.22,-0.7547095802227722,0.656059028990507,2.41,13.33,10.07,-0.8090169943749476,0.5877852522924729,2.81,12.5,10.6,-0.6293203910498378,0.7771459614569706,2.33,11.76,9.75,-0.6819983600624983,0.7313537016191707,2.86,13.33,10.22,-0.6018150231520483,0.7986355100472928,2.81,13.33,10.36,-0.6427876096865396,0.7660444431189779,13.69,1.5,2.3,-0.8480480961564258,-0.529919264233205
