,Model Name,Score Type,Score,Observations
0,XGBoost Regression,Train RMSE,1.719407060938767,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 5000}"
1,XGBoost Regression,Test RMSE,2.8711189584814503,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 5000}"
