#YY,MM,DD,hh,mm,WDIR,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2022,3,10,12,0,MM,0,1,MM,MM,MM,MM,1018.5,23.1,25.2,MM,MM,-1,MM
2022,3,10,11,54,50,0.5,1,MM,MM,MM,MM,1018.6,23.1,25.2,MM,MM,MM,MM
2022,3,10,11,48,20,0.5,1,MM,MM,MM,MM,1018.6,22.9,25.2,MM,MM,MM,MM
2022,3,10,11,42,10,1,2.6,MM,MM,MM,MM,1018.7,22.8,25.2,MM,MM,MM,MM
2022,3,10,11,36,330,2.1,2.6,MM,MM,MM,MM,1018.8,22.7,25.2,MM,MM,MM,MM
2022,3,10,11,30,340,0.5,1,MM,MM,MM,MM,1018.8,22.9,25.2,MM,MM,MM,MM
2022,3,10,11,24,350,0.5,2.1,MM,MM,MM,MM,1018.8,22.9,25.3,MM,MM,MM,MM
2022,3,10,11,18,330,2.1,2.1,MM,MM,MM,MM,1018.8,22.9,25.3,MM,MM,MM,MM
2022,3,10,11,12,MM,0,0.5,MM,MM,MM,MM,1019,23.2,25.3,MM,MM,MM,MM
2022,3,10,11,6,MM,0,0.5,MM,MM,MM,MM,1019,23.3,25.3,MM,MM,MM,MM
2022,3,10,11,0,MM,0,1,MM,MM,MM,MM,1019,23.2,25.3,MM,MM,-0.4,MM
2022,3,10,10,54,360,1,2.1,MM,MM,MM,MM,1019,23.1,25.3,MM,MM,MM,MM
2022,3,10,10,48,310,1.5,1.5,MM,MM,MM,MM,1019.1,23.2,25.3,MM,MM,MM,MM
2022,3,10,10,42,MM,0,1,MM,MM,MM,MM,1019.1,23.4,25.3,MM,MM,MM,MM
2022,3,10,10,36,MM,0,0.5,MM,MM,MM,MM,1019.1,23.2,25.3,MM,MM,MM,MM
2022,3,10,10,30,MM,0,1,MM,MM,MM,MM,1019.2,23.3,25.3,MM,MM,MM,MM
2022,3,10,10,24,MM,0,1,MM,MM,MM,MM,1019.2,23.3,25.3,MM,MM,MM,MM
2022,3,10,10,18,330,1,1.5,MM,MM,MM,MM,1019.2,23.2,25.3,MM,MM,MM,MM
2022,3,10,10,12,350,1,1.5,MM,MM,MM,MM,1019.2,23.1,25.3,MM,MM,MM,MM
2022,3,10,10,6,340,1,1.5,MM,MM,MM,MM,1019.2,23,25.3,MM,MM,MM,MM
2022,3,10,10,0,340,1.5,1.5,MM,MM,MM,MM,1019.2,23.1,25.3,MM,MM,0,MM
2022,3,10,9,54,350,1.5,2.6,MM,MM,MM,MM,1019.2,23.1,25.3,MM,MM,MM,MM
2022,3,10,9,48,330,1.5,2.6,MM,MM,MM,MM,1019.2,23.1,25.3,MM,MM,MM,MM
2022,3,10,9,42,330,2.1,2.1,MM,MM,MM,MM,1019.3,23.3,25.3,MM,MM,MM,MM
2022,3,10,9,36,340,1.5,2.6,MM,MM,MM,MM,1019.3,23.5,25.3,MM,MM,MM,MM
2022,3,10,9,30,360,2.1,3.1,MM,MM,MM,MM,1019.3,23.6,25.3,MM,MM,MM,MM
2022,3,10,9,24,350,2.1,3.1,MM,MM,MM,MM,1019.2,23.8,25.2,MM,MM,MM,MM
2022,3,10,9,18,20,1,2.1,MM,MM,MM,MM,1019.3,23.7,25.2,MM,MM,MM,MM
2022,3,10,9,12,50,1,1.5,MM,MM,MM,MM,1019.4,23.6,25.2,MM,MM,MM,MM
2022,3,10,9,6,50,1,2.1,MM,MM,MM,MM,1019.4,23.3,25.2,MM,MM,MM,MM
2022,3,10,9,0,70,1.5,3.1,MM,MM,MM,MM,1019.5,23.3,25.2,MM,MM,0.8,MM
2022,3,10,8,54,80,1,3.1,MM,MM,MM,MM,1019.5,23.4,25.3,MM,MM,MM,MM
2022,3,10,8,48,100,1,5.1,MM,MM,MM,MM,1019.4,23.5,25.3,MM,MM,MM,MM
2022,3,10,8,42,140,1.5,3.1,MM,MM,MM,MM,1019.5,23.9,25.3,MM,MM,MM,MM
2022,3,10,8,36,130,1,2.1,MM,MM,MM,MM,1019.5,24.2,25.3,MM,MM,MM,MM
2022,3,10,8,30,100,1.5,2.6,MM,MM,MM,MM,1019.4,24.3,25.3,MM,MM,MM,MM
2022,3,10,8,24,60,1.5,2.1,MM,MM,MM,MM,1019.4,24.3,25.3,MM,MM,MM,MM
2022,3,10,8,18,60,1.5,2.6,MM,MM,MM,MM,1019.5,24.2,25.3,MM,MM,MM,MM
2022,3,10,8,12,50,1,1.5,MM,MM,MM,MM,1019.5,24.3,25.3,MM,MM,MM,MM
2022,3,10,8,6,70,0.5,1,MM,MM,MM,MM,1019.5,24.4,25.3,MM,MM,MM,MM
2022,3,10,8,0,60,1,1.5,MM,MM,MM,MM,1019.4,24.4,25.3,MM,MM,1.4,MM
2022,3,10,7,54,50,0.5,0.5,MM,MM,MM,MM,1019.5,24.5,25.3,MM,MM,MM,MM
2022,3,10,7,48,40,0.5,1,MM,MM,MM,MM,1019.5,24.5,25.3,MM,MM,MM,MM
2022,3,10,7,42,60,1,1,MM,MM,MM,MM,1019.4,24.5,25.3,MM,MM,MM,MM
2022,3,10,7,36,60,1,1.5,MM,MM,MM,MM,1019.4,24.5,25.3,MM,MM,MM,MM
2022,3,10,7,30,50,1,1.5,MM,MM,MM,MM,1019.4,24.4,25.3,MM,MM,MM,MM
2022,3,10,7,24,50,1.5,2.1,MM,MM,MM,MM,1019.4,24.4,25.3,MM,MM,MM,MM
2022,3,10,7,18,60,1,2.1,MM,MM,MM,MM,1019.2,24.4,25.3,MM,MM,MM,MM
2022,3,10,7,12,70,1.5,2.1,MM,MM,MM,MM,1019.1,24.4,25.3,MM,MM,MM,MM
2022,3,10,7,6,MM,0,1,MM,MM,MM,MM,1019.1,24.5,25.3,MM,MM,MM,MM
2022,3,10,7,0,40,1,1,MM,MM,MM,MM,1019,24.5,25.3,MM,MM,1.6,MM
2022,3,10,6,54,360,1,2.1,MM,MM,MM,MM,1018.9,24.6,25.3,MM,MM,MM,MM
2022,3,10,6,48,360,2.1,2.6,MM,MM,MM,MM,1018.9,24.6,25.3,MM,MM,MM,MM
2022,3,10,6,42,30,1,2.1,MM,MM,MM,MM,1019,24.7,25.3,MM,MM,MM,MM
2022,3,10,6,36,90,0.5,2.6,MM,MM,MM,MM,1019,24.7,25.4,MM,MM,MM,MM
2022,3,10,6,30,70,1.5,2.6,MM,MM,MM,MM,1019,24.6,25.4,MM,MM,MM,MM
2022,3,10,6,24,50,1,1.5,MM,MM,MM,MM,1018.9,24.6,25.4,MM,MM,MM,MM
2022,3,10,6,18,50,1.5,2.6,MM,MM,MM,MM,1018.8,24.6,25.4,MM,MM,MM,MM
2022,3,10,6,12,60,1.5,2.1,MM,MM,MM,MM,1018.8,24.6,25.4,MM,MM,MM,MM
2022,3,10,6,6,40,1,3.1,MM,MM,MM,MM,1018.7,24.7,25.4,MM,MM,MM,MM
2022,3,10,6,0,360,2.1,3.1,MM,MM,MM,MM,1018.7,24.8,25.3,MM,MM,2,MM
2022,3,10,5,54,60,1.5,2.1,MM,MM,MM,MM,1018.6,24.8,25.4,MM,MM,MM,MM
2022,3,10,5,48,40,0.5,1.5,MM,MM,MM,MM,1018.5,24.8,25.3,MM,MM,MM,MM
2022,3,10,5,42,50,1,1.5,MM,MM,MM,MM,1018.4,24.7,25.3,MM,MM,MM,MM
2022,3,10,5,36,50,1.5,2.6,MM,MM,MM,MM,1018.4,24.6,25.3,MM,MM,MM,MM
2022,3,10,5,30,50,1.5,2.6,MM,MM,MM,MM,1018.4,24.7,25.3,MM,MM,MM,MM
2022,3,10,5,24,40,0.5,2.1,MM,MM,MM,MM,1018.3,24.6,25.3,MM,MM,MM,MM
2022,3,10,5,18,50,1.5,3.1,MM,MM,MM,MM,1018.3,24.6,25.3,MM,MM,MM,MM
2022,3,10,5,12,100,1,3.1,MM,MM,MM,MM,1018.2,24.7,25.3,MM,MM,MM,MM
