#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2016,1,1,0,4,999,99,99,2.78,14.29,10.91,330,9999,999,25.5,999,99,99
2016,1,1,0,34,999,99,99,3.18,13.33,11.24,328,9999,999,25.5,999,99,99
2016,1,1,1,4,999,99,99,3.32,14.29,11.65,323,9999,999,25.4,999,99,99
2016,1,1,1,34,999,99,99,3.14,14.29,11.13,318,9999,999,25.4,999,99,99
2016,1,1,2,4,999,99,99,3.13,13.33,10.91,320,9999,999,25.4,999,99,99
2016,1,1,2,34,999,99,99,3.17,14.29,11.01,320,9999,999,25.3,999,99,99
2016,1,1,3,4,999,99,99,2.78,13.33,10.52,324,9999,999,25.3,999,99,99
2016,1,1,3,34,999,99,99,3.09,13.33,10.61,317,9999,999,25.3,999,99,99
2016,1,1,4,4,999,99,99,2.64,13.33,10.47,321,9999,999,25.3,999,99,99
2016,1,1,4,34,999,99,99,3.05,13.33,10.83,316,9999,999,25.2,999,99,99
2016,1,1,5,4,999,99,99,2.76,14.29,10.62,316,9999,999,25.2,999,99,99
2016,1,1,5,34,999,99,99,2.54,13.33,10.27,310,9999,999,25.2,999,99,99
2016,1,1,6,4,999,99,99,2.81,12.5,10.59,325,9999,999,25.2,999,99,99
2016,1,1,6,34,999,99,99,2.84,13.33,10.5,316,9999,999,25.2,999,99,99
2016,1,1,7,4,999,99,99,2.73,12.5,10.57,318,9999,999,25.1,999,99,99
2016,1,1,7,34,999,99,99,2.46,14.29,10.27,323,9999,999,25.1,999,99,99
2016,1,1,8,4,999,99,99,2.57,11.76,9.96,323,9999,999,25.1,999,99,99
2016,1,1,8,34,999,99,99,2.6,14.29,10.39,316,9999,999,25.1,999,99,99
2016,1,1,9,4,999,99,99,2.67,13.33,10.47,321,9999,999,25.1,999,99,99
2016,1,1,9,34,999,99,99,2.48,13.33,10.27,323,9999,999,25.1,999,99,99
2016,1,1,10,4,999,99,99,2.39,12.5,10.32,324,9999,999,25.1,999,99,99
2016,1,1,10,34,999,99,99,2.39,11.76,10.33,320,9999,999,25.1,999,99,99
2016,1,1,11,4,999,99,99,2.54,13.33,10.64,323,9999,999,25.1,999,99,99
2016,1,1,11,34,999,99,99,2.6,12.5,10.54,318,9999,999,25.1,999,99,99
2016,1,1,12,4,999,99,99,2.44,13.33,10.95,327,9999,999,25.1,999,99,99
2016,1,1,12,34,999,99,99,2.77,14.29,11.53,325,9999,999,25.1,999,99,99
2016,1,1,13,4,999,99,99,2.34,13.33,11.28,330,9999,999,25.1,999,99,99
2016,1,1,13,34,999,99,99,2.45,12.5,11.13,325,9999,999,25.1,999,99,99
2016,1,1,14,4,999,99,99,2.59,14.29,11.35,330,9999,999,25.1,999,99,99
2016,1,1,14,34,999,99,99,2.58,13.33,11.37,327,9999,999,25.1,999,99,99
2016,1,1,15,4,999,99,99,3,14.29,11.8,325,9999,999,25.1,999,99,99
2016,1,1,15,34,999,99,99,2.87,13.33,11.31,321,9999,999,25.1,999,99,99
2016,1,1,16,4,999,99,99,2.87,13.33,11.17,317,9999,999,25.1,999,99,99
2016,1,1,16,34,999,99,99,2.85,14.29,11.57,317,9999,999,25.1,999,99,99
2016,1,1,17,4,999,99,99,3.23,13.33,11.93,328,9999,999,25.1,999,99,99
2016,1,1,17,34,999,99,99,3.14,14.29,11.88,317,9999,999,25.1,999,99,99
2016,1,1,18,4,999,99,99,3.43,14.29,11.77,323,9999,999,25.1,999,99,99
2016,1,1,18,34,999,99,99,3.13,13.33,11.69,313,9999,999,25.1,999,99,99
2016,1,1,19,4,999,99,99,3.01,14.29,11.38,324,9999,999,25.1,999,99,99
2016,1,1,19,34,999,99,99,2.88,14.29,11.46,317,9999,999,25.1,999,99,99
2016,1,1,20,4,999,99,99,3.37,14.29,11.91,318,9999,999,25.1,999,99,99
2016,1,1,20,34,999,99,99,3.33,13.33,11.6,316,9999,999,25.1,999,99,99
2016,1,1,21,4,999,99,99,3.03,13.33,11.31,316,9999,999,25.1,999,99,99
2016,1,1,21,34,999,99,99,3.41,14.29,11.57,307,9999,999,25.2,999,99,99
2016,1,1,22,4,999,99,99,2.8,14.29,11.05,313,9999,999,25.4,999,99,99
2016,1,1,22,34,999,99,99,2.84,13.33,10.91,317,9999,999,25.4,999,99,99
2016,1,1,23,4,999,99,99,2.67,11.76,10.55,320,9999,999,25.4,999,99,99
2016,1,1,23,34,999,99,99,2.83,14.29,10.41,314,9999,999,25.2,999,99,99
2016,1,2,0,4,999,99,99,2.88,14.29,10.58,318,9999,999,25.3,999,99,99
2016,1,2,0,34,999,99,99,2.83,13.33,10.71,321,9999,999,25.3,999,99,99
2016,1,2,1,4,999,99,99,2.54,12.5,10.23,328,9999,999,25.3,999,99,99
2016,1,2,1,34,999,99,99,2.86,13.33,10.53,320,9999,999,25.2,999,99,99
2016,1,2,2,4,999,99,99,2.61,13.33,9.14,313,9999,999,25.1,999,99,99
2016,1,2,2,34,999,99,99,2.8,12.5,8.78,316,9999,999,25.1,999,99,99
2016,1,2,3,4,999,99,99,2.81,14.29,8.92,324,9999,999,25.1,999,99,99
2016,1,2,3,34,999,99,99,2.93,12.5,8.47,323,9999,999,25.1,999,99,99
2016,1,2,4,4,999,99,99,3.05,13.33,8.84,317,9999,999,25.1,999,99,99
2016,1,2,4,34,999,99,99,3.23,13.33,8.65,321,9999,999,25.1,999,99,99
2016,1,2,5,4,999,99,99,3.32,15.38,8.85,325,9999,999,25,999,99,99
2016,1,2,5,34,999,99,99,3.82,14.29,9.66,317,9999,999,25,999,99,99
