#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2010,1,1,0,21,999,99,99,2.44,13.33,9.4,331,9999,999,24.7,999,99,99
2010,1,1,0,51,999,99,99,2.51,14.29,9.29,326,9999,999,24.8,999,99,99
2010,1,1,1,21,999,99,99,2.3,14.29,8.81,317,9999,999,24.7,999,99,99
2010,1,1,1,51,999,99,99,2.83,13.33,9.89,319,9999,999,24.7,999,99,99
2010,1,1,2,21,999,99,99,2.49,13.33,9.44,324,9999,999,24.7,999,99,99
2010,1,1,2,51,999,99,99,2.2,12.5,8.81,329,9999,999,24.6,999,99,99
2010,1,1,3,21,999,99,99,2.29,12.5,8.67,326,9999,999,24.6,999,99,99
2010,1,1,3,51,999,99,99,2.25,15.38,8.52,312,9999,999,24.6,999,99,99
2010,1,1,4,21,999,99,99,2.2,13.33,8.08,314,9999,999,24.6,999,99,99
2010,1,1,4,51,999,99,99,2.45,14.29,9.05,318,9999,999,24.6,999,99,99
2010,1,1,5,21,999,99,99,2.47,13.33,9.32,319,9999,999,24.6,999,99,99
2010,1,1,5,51,999,99,99,2.44,11.76,9.02,332,9999,999,24.6,999,99,99
2010,1,1,6,21,999,99,99,2.36,12.5,8.64,338,9999,999,24.6,999,99,99
2010,1,1,6,51,999,99,99,2.32,12.5,8.74,325,9999,999,24.6,999,99,99
2010,1,1,7,21,999,99,99,2.29,14.29,9.39,312,9999,999,24.7,999,99,99
2010,1,1,7,51,999,99,99,2.58,14.29,10,317,9999,999,24.7,999,99,99
2010,1,1,8,21,999,99,99,2.18,12.5,9.39,321,9999,999,24.7,999,99,99
2010,1,1,8,51,999,99,99,2.36,12.5,9.7,321,9999,999,24.7,999,99,99
2010,1,1,9,21,999,99,99,2.1,14.29,9.39,307,9999,999,24.7,999,99,99
2010,1,1,9,51,999,99,99,2.01,13.33,9.14,319,9999,999,24.6,999,99,99
2010,1,1,10,21,999,99,99,2.04,13.33,9.13,315,9999,999,24.6,999,99,99
2010,1,1,10,51,999,99,99,2.13,11.76,8.88,326,9999,999,24.7,999,99,99
2010,1,1,11,21,999,99,99,2.13,11.76,8.93,331,9999,999,24.7,999,99,99
2010,1,1,11,51,999,99,99,2.23,13.33,8.71,317,9999,999,24.7,999,99,99
2010,1,1,12,21,999,99,99,2.32,11.76,8.58,325,9999,999,24.7,999,99,99
2010,1,1,12,51,999,99,99,2.25,12.5,8.02,319,9999,999,24.6,999,99,99
2010,1,1,13,21,999,99,99,2.21,11.11,8.13,333,9999,999,24.6,999,99,99
2010,1,1,13,51,999,99,99,2.38,11.76,8.21,328,9999,999,24.7,999,99,99
2010,1,1,14,21,999,99,99,2.21,11.76,7.83,322,9999,999,24.6,999,99,99
2010,1,1,14,51,999,99,99,2.05,11.76,7.69,328,9999,999,24.6,999,99,99
2010,1,1,15,21,999,99,99,2.21,11.11,7.91,318,9999,999,24.6,999,99,99
2010,1,1,15,51,999,99,99,2.17,11.11,7.94,329,9999,999,24.5,999,99,99
2010,1,1,16,21,999,99,99,2.06,11.76,7.67,335,9999,999,24.5,999,99,99
2010,1,1,16,51,999,99,99,2.02,11.76,7.24,331,9999,999,24.5,999,99,99
2010,1,1,17,21,999,99,99,2.22,11.76,7.9,333,9999,999,24.4,999,99,99
2010,1,1,17,51,999,99,99,2.23,11.76,7.35,331,9999,999,24.5,999,99,99
2010,1,1,18,21,999,99,99,2.24,11.11,7.43,335,9999,999,24.5,999,99,99
2010,1,1,18,51,999,99,99,2.28,11.11,7.38,332,9999,999,24.4,999,99,99
2010,1,1,19,21,999,99,99,2.16,11.11,7.2,333,9999,999,24.4,999,99,99
2010,1,1,19,51,999,99,99,2.16,11.11,7.21,345,9999,999,24.5,999,99,99
2010,1,1,20,21,999,99,99,2.12,11.11,7.33,336,9999,999,24.5,999,99,99
2010,1,1,20,51,999,99,99,2.06,11.11,7.63,331,9999,999,24.6,999,99,99
2010,1,1,21,21,999,99,99,1.94,11.11,7.8,346,9999,999,24.7,999,99,99
2010,1,1,22,21,999,99,99,1.98,11.11,7.88,343,9999,999,24.7,999,99,99
2010,1,1,22,51,999,99,99,1.92,11.11,7.92,342,9999,999,24.8,999,99,99
2010,1,1,23,21,999,99,99,1.81,11.11,7.68,336,9999,999,24.9,999,99,99
2010,1,1,23,51,999,99,99,1.79,11.76,7.92,342,9999,999,25,999,99,99
2010,1,2,0,21,999,99,99,1.74,10.53,7.65,350,9999,999,24.9,999,99,99
2010,1,2,0,51,999,99,99,1.82,10.53,8.06,342,9999,999,24.9,999,99,99
2010,1,2,1,21,999,99,99,1.79,12.5,8.15,325,9999,999,24.8,999,99,99
2010,1,2,1,51,999,99,99,1.93,11.76,8.45,324,9999,999,24.8,999,99,99
2010,1,2,2,21,999,99,99,1.9,11.11,8.4,335,9999,999,24.8,999,99,99
2010,1,2,2,51,999,99,99,1.77,10.53,8.09,325,9999,999,24.8,999,99,99
2010,1,2,3,21,999,99,99,1.72,11.11,8.17,335,9999,999,24.8,999,99,99
2010,1,2,4,21,999,99,99,1.81,10.53,8.35,336,9999,999,24.6,999,99,99
2010,1,2,4,51,999,99,99,1.85,11.11,8.15,331,9999,999,24.5,999,99,99
2010,1,2,5,21,999,99,99,2.02,11.11,8.24,338,9999,999,24.5,999,99,99
2010,1,2,5,51,999,99,99,1.97,11.11,8.05,346,9999,999,24.5,999,99,99
2010,1,2,6,21,999,99,99,2.05,10.53,7.94,336,9999,999,24.5,999,99,99
2010,1,2,6,51,999,99,99,2.05,11.11,8.06,333,9999,999,24.5,999,99,99
2010,1,2,7,21,999,99,99,1.93,11.11,7.85,340,9999,999,24.4,999,99,99
2010,1,2,7,51,999,99,99,1.91,11.76,8.06,318,9999,999,24.5,999,99,99
2010,1,2,8,21,999,99,99,1.78,9.88,7.97,339,9999,999,24.6,999,99,99
2010,1,2,8,51,999,99,99,1.68,10.53,8.05,336,9999,999,24.6,999,99,99
2010,1,2,9,21,999,99,99,1.7,11.11,8.13,346,9999,999,24.6,999,99,99
2010,1,2,9,51,999,99,99,1.61,9.88,7.89,350,9999,999,24.6,999,99,99
2010,1,2,10,21,999,99,99,1.54,9.88,7.78,335,9999,999,24.6,999,99,99
2010,1,2,10,51,999,99,99,1.69,11.11,8.01,350,9999,999,24.6,999,99,99
2010,1,2,11,21,999,99,99,1.66,10.53,8.09,355,9999,999,24.6,999,99,99
2010,1,2,11,51,999,99,99,1.57,10.53,7.85,356,9999,999,24.6,999,99,99
2010,1,2,12,21,999,99,99,1.57,10.53,7.81,353,9999,999,24.6,999,99,99
2010,1,2,12,51,999,99,99,1.67,11.11,7.85,343,9999,999,24.6,999,99,99
2010,1,2,13,21,999,99,99,1.72,10.53,8.1,338,9999,999,24.6,999,99,99
2010,1,2,13,51,999,99,99,1.58,8.33,7.52,328,9999,999,24.5,999,99,99
2010,1,2,14,21,999,99,99,1.64,7.69,7.78,339,9999,999,24.5,999,99,99
2010,1,2,14,51,999,99,99,1.51,10.53,7.85,348,9999,999,24.5,999,99,99
2010,1,2,15,21,999,99,99,1.52,7.69,7.78,338,9999,999,24.5,999,99,99
2010,1,2,15,51,999,99,99,1.62,7.69,7.74,338,9999,999,24.5,999,99,99
2010,1,2,16,21,999,99,99,1.61,10.53,7.88,340,9999,999,24.5,999,99,99
2010,1,2,16,51,999,99,99,1.65,10.53,7.91,353,9999,999,24.5,999,99,99
2010,1,2,17,21,999,99,99,1.61,9.88,7.93,348,9999,999,24.5,999,99,99
2010,1,2,17,51,999,99,99,1.58,8.33,7.51,339,9999,999,24.5,999,99,99
2010,1,2,18,21,999,99,99,1.57,9.88,7.62,335,9999,999,24.5,999,99,99
2010,1,2,18,51,999,99,99,1.7,9.88,7.83,349,9999,999,24.5,999,99,99
2010,1,2,19,21,999,99,99,1.57,10.53,7.56,4,9999,999,24.5,999,99,99
