#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,4,1,0,999,99,99,2.1,14,99,999,9999,999,24.2,999,99,99
2008,1,4,2,0,999,99,99,2.2,12,99,999,9999,999,24.1,999,99,99
2008,1,4,3,0,999,99,99,2.2,11,99,999,9999,999,24.2,999,99,99
2008,1,4,4,0,999,99,99,2.1,12,99,999,9999,999,24.2,999,99,99
2008,1,4,5,0,999,99,99,1.9,12,99,999,9999,999,24.1,999,99,99
2008,1,4,6,0,999,99,99,2,11,99,999,9999,999,24.2,999,99,99
2008,1,4,7,0,999,99,99,2,12,99,999,9999,999,24.2,999,99,99
2008,1,4,8,0,999,99,99,2.1,12,99,999,9999,999,24.2,999,99,99
2008,1,4,9,0,999,99,99,2.2,13,99,999,9999,999,24.2,999,99,99
2008,1,4,10,0,999,99,99,2.2,12,99,999,9999,999,24.1,999,99,99
2008,1,4,11,0,999,99,99,2.1,13,99,999,9999,999,24.2,999,99,99
2008,1,4,12,0,999,99,99,2.1,13,99,999,9999,999,24.1,999,99,99
2008,1,4,13,0,999,99,99,2.1,13,99,999,9999,999,24.2,999,99,99
2008,1,4,14,0,999,99,99,2.3,14,99,999,9999,999,24.2,999,99,99
2008,1,4,15,0,999,99,99,2.2,13,99,999,9999,999,24.2,999,99,99
2008,1,4,16,0,999,99,99,2.6,12,99,999,9999,999,24.2,999,99,99
2008,1,4,17,0,999,99,99,2.5,12,99,999,9999,999,24.2,999,99,99
2008,1,4,18,0,999,99,99,2.6,12,99,999,9999,999,24.2,999,99,99
2008,1,4,19,0,999,99,99,2.5,13,99,999,9999,999,24.2,999,99,99
2008,1,4,20,0,999,99,99,2.3,12,99,999,9999,999,24.2,999,99,99
2008,1,4,21,0,999,99,99,2.3,12,99,999,9999,999,24.2,999,99,99
2008,1,4,22,0,999,99,99,2.2,12,99,999,9999,999,24.1,999,99,99
2008,1,4,23,0,999,99,99,2.1,11,99,999,9999,999,24.2,999,99,99
2008,1,5,0,0,999,99,99,2,12,99,999,9999,999,24.2,999,99,99
2008,1,5,1,0,999,99,99,2,11,99,999,9999,999,24.2,999,99,99
2008,1,5,2,0,999,99,99,1.9,12,99,999,9999,999,24.2,999,99,99
2008,1,5,3,0,999,99,99,1.9,11,99,999,9999,999,24.2,999,99,99
2008,1,5,4,0,999,99,99,1.9,11,99,999,9999,999,24.2,999,99,99
2008,1,5,5,0,999,99,99,2,12,99,999,9999,999,24.2,999,99,99
2008,1,5,6,0,999,99,99,2,12,99,999,9999,999,24.2,999,99,99
2008,1,5,7,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,8,0,999,99,99,1.9,12,99,999,9999,999,24.2,999,99,99
2008,1,5,9,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,10,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,11,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,12,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,13,0,999,99,99,1.8,11,99,999,9999,999,24.2,999,99,99
2008,1,5,14,0,999,99,99,1.9,12,99,999,9999,999,24.2,999,99,99
2008,1,5,15,0,999,99,99,1.9,12,99,999,9999,999,24.2,999,99,99
2008,1,5,16,0,999,99,99,2,12,99,999,9999,999,24.2,999,99,99
2008,1,5,17,0,999,99,99,1.9,11,99,999,9999,999,24.2,999,99,99
2008,1,5,18,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,19,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,20,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,21,0,999,99,99,1.8,12,99,999,9999,999,24.2,999,99,99
2008,1,5,22,0,999,99,99,1.9,11,99,999,9999,999,24.2,999,99,99
2008,1,5,23,0,999,99,99,1.7,11,99,999,9999,999,24.2,999,99,99
2008,1,6,0,0,999,99,99,1.8,11,99,999,9999,999,24.2,999,99,99
2008,1,6,1,0,999,99,99,1.8,11,99,999,9999,999,24.2,999,99,99
2008,1,6,2,0,999,99,99,1.7,10,99,999,9999,999,24.2,999,99,99
2008,1,6,3,0,999,99,99,1.7,11,99,999,9999,999,24.2,999,99,99
2008,1,6,4,0,999,99,99,1.7,12,99,999,9999,999,24.2,999,99,99
2008,1,6,5,0,999,99,99,1.7,11,99,999,9999,999,24.2,999,99,99
2008,1,6,6,0,999,99,99,1.7,11,99,999,9999,999,24.2,999,99,99
2008,1,6,7,0,999,99,99,1.6,12,99,999,9999,999,24.2,999,99,99
2008,1,6,8,0,999,99,99,1.5,11,99,999,9999,999,24.2,999,99,99
2008,1,6,9,0,999,99,99,1.6,12,99,999,9999,999,24.2,999,99,99
