#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,1,1,0,12,999,99,99,1.3,10.53,7.37,321,9999,999,24.2,999,99,99
2012,1,1,0,42,999,99,99,1.34,11.76,7.12,318,9999,999,24.2,999,99,99
2012,1,1,1,12,999,99,99,1.18,11.11,7.06,328,9999,999,24.2,999,99,99
2012,1,1,1,42,999,99,99,1.15,11.76,6.89,331,9999,999,24.2,999,99,99
2012,1,1,2,12,999,99,99,1.15,12.5,7.16,310,9999,999,24.2,999,99,99
2012,1,1,2,42,999,99,99,1.19,10.53,6.99,321,9999,999,24.2,999,99,99
2012,1,1,3,12,999,99,99,1.19,10.53,6.97,328,9999,999,24.2,999,99,99
2012,1,1,3,42,999,99,99,1.18,10.53,6.61,326,9999,999,24.2,999,99,99
2012,1,1,4,12,999,99,99,1.33,10.53,6.87,324,9999,999,24.1,999,99,99
2012,1,1,4,42,999,99,99,1.35,11.11,6.58,331,9999,999,24.1,999,99,99
2012,1,1,5,12,999,99,99,1.29,11.11,6.25,321,9999,999,24,999,99,99
2012,1,1,5,42,999,99,99,1.32,11.76,6.4,325,9999,999,24,999,99,99
2012,1,1,6,12,999,99,99,1.27,10.53,6.61,333,9999,999,24,999,99,99
2012,1,1,6,42,999,99,99,1.26,11.11,6.75,324,9999,999,24,999,99,99
2012,1,1,7,12,999,99,99,1.24,9.88,6.54,345,9999,999,24,999,99,99
2012,1,1,7,42,999,99,99,1.33,12.5,6.9,325,9999,999,24,999,99,99
2012,1,1,8,12,999,99,99,1.28,10.53,7.18,324,9999,999,24,999,99,99
2012,1,1,8,42,999,99,99,1.31,11.76,7.61,314,9999,999,24,999,99,99
2012,1,1,9,12,999,99,99,1.24,12.5,7.36,312,9999,999,24,999,99,99
2012,1,1,9,42,999,99,99,1.27,12.5,7.13,310,9999,999,24,999,99,99
2012,1,1,10,12,999,99,99,1.33,12.5,7.54,307,9999,999,24,999,99,99
2012,1,1,10,42,999,99,99,1.23,11.76,7.27,310,9999,999,24,999,99,99
