#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,1,0,2,999,99,99,1.41,13.33,6.53,314,9999,999,23.7,999,99,99
2018,1,1,0,32,999,99,99,1.27,13.33,6.24,317,9999,999,23.7,999,99,99
2018,1,1,1,2,999,99,99,1.3,13.33,6.02,327,9999,999,23.7,999,99,99
2018,1,1,1,32,999,99,99,1.31,13.33,6.14,323,9999,999,23.7,999,99,99
2018,1,1,2,2,999,99,99,1.27,13.33,5.98,317,9999,999,23.7,999,99,99
2018,1,1,2,32,999,99,99,1.36,14.29,6.35,302,9999,999,23.7,999,99,99
2018,1,1,3,32,999,99,99,1.39,14.29,6,318,9999,999,23.6,999,99,99
2018,1,1,4,2,999,99,99,1.4,14.29,6.23,335,9999,999,23.6,999,99,99
2018,1,1,4,32,999,99,99,1.38,13.33,6.21,317,9999,999,23.6,999,99,99
2018,1,1,6,2,999,99,99,1.35,14.29,6.41,313,9999,999,23.6,999,99,99
2018,1,1,6,32,999,99,99,1.41,13.33,6.74,313,9999,999,23.6,999,99,99
2018,1,1,7,2,999,99,99,1.38,13.33,6.81,321,9999,999,23.6,999,99,99
2018,1,1,7,32,999,99,99,1.28,13.33,6.53,303,9999,999,23.6,999,99,99
2018,1,1,8,32,999,99,99,1.36,14.29,7.04,313,9999,999,23.6,999,99,99
2018,1,1,9,2,999,99,99,1.35,13.33,7.01,327,9999,999,23.6,999,99,99
2018,1,1,9,32,999,99,99,1.38,13.33,6.75,320,9999,999,23.6,999,99,99
2018,1,1,10,2,999,99,99,1.4,14.29,7.1,314,9999,999,23.6,999,99,99
2018,1,1,10,32,999,99,99,1.3,13.33,7.02,309,9999,999,23.6,999,99,99
2018,1,1,11,2,999,99,99,1.34,14.29,7.47,318,9999,999,23.6,999,99,99
2018,1,1,11,32,999,99,99,1.43,14.29,7.67,307,9999,999,23.6,999,99,99
2018,1,1,12,2,999,99,99,1.47,14.29,7.94,304,9999,999,23.6,999,99,99
2018,1,1,12,32,999,99,99,1.36,14.29,7.56,309,9999,999,23.6,999,99,99
2018,1,1,13,2,999,99,99,1.41,13.33,7.56,307,9999,999,23.6,999,99,99
2018,1,1,13,32,999,99,99,1.36,14.29,7.53,309,9999,999,23.6,999,99,99
2018,1,1,14,2,999,99,99,1.37,15.38,7.25,314,9999,999,23.6,999,99,99
2018,1,1,14,32,999,99,99,1.41,14.29,7.84,311,9999,999,23.6,999,99,99
2018,1,1,15,2,999,99,99,1.31,14.29,7.78,310,9999,999,23.6,999,99,99
2018,1,1,15,32,999,99,99,1.32,14.29,7.53,313,9999,999,23.6,999,99,99
2018,1,1,16,2,999,99,99,1.51,12.5,8.31,320,9999,999,23.6,999,99,99
2018,1,1,16,32,999,99,99,1.4,14.29,8.16,309,9999,999,23.6,999,99,99
2018,1,1,17,2,999,99,99,1.47,14.29,8.41,311,9999,999,23.6,999,99,99
2018,1,1,17,32,999,99,99,1.39,14.29,8.51,314,9999,999,23.6,999,99,99
2018,1,1,18,2,999,99,99,1.31,14.29,7.68,304,9999,999,23.6,999,99,99
2018,1,1,18,32,999,99,99,1.29,13.33,8.07,311,9999,999,23.7,999,99,99
2018,1,1,19,2,999,99,99,1.4,14.29,8.45,317,9999,999,23.7,999,99,99
2018,1,1,19,32,999,99,99,1.28,13.33,7.94,317,9999,999,23.8,999,99,99
2018,1,1,20,2,999,99,99,1.35,14.29,7.57,314,9999,999,23.8,999,99,99
2018,1,1,20,32,999,99,99,1.52,14.29,7.98,309,9999,999,23.8,999,99,99
2018,1,1,21,2,999,99,99,1.25,12.5,7.18,316,9999,999,23.9,999,99,99
2018,1,1,21,32,999,99,99,1.43,13.33,7.27,317,9999,999,23.8,999,99,99
2018,1,1,22,2,999,99,99,1.43,14.29,6.89,310,9999,999,23.8,999,99,99
2018,1,1,22,32,999,99,99,1.42,13.33,7.25,306,9999,999,23.8,999,99,99
2018,1,1,23,2,999,99,99,1.44,13.33,7.53,309,9999,999,23.8,999,99,99
2018,1,1,23,32,999,99,99,1.44,13.33,7.32,306,9999,999,23.8,999,99,99
2018,1,2,0,2,999,99,99,1.52,13.33,7.51,309,9999,999,23.8,999,99,99
2018,1,2,1,32,999,99,99,1.41,13.33,7.34,316,9999,999,23.8,999,99,99
2018,1,2,2,2,999,99,99,1.55,12.5,7.71,310,9999,999,23.7,999,99,99
2018,1,2,2,32,999,99,99,1.47,14.29,7.58,302,9999,999,23.7,999,99,99
2018,1,2,3,2,999,99,99,1.43,13.33,7.2,311,9999,999,23.7,999,99,99
2018,1,2,3,32,999,99,99,1.54,14.29,7.95,316,9999,999,23.7,999,99,99
2018,1,2,4,2,999,99,99,1.53,14.29,7.64,318,9999,999,23.7,999,99,99
2018,1,2,4,32,999,99,99,1.5,14.29,7.52,314,9999,999,23.6,999,99,99
2018,1,2,5,32,999,99,99,1.6,13.33,8.11,311,9999,999,23.6,999,99,99
2018,1,2,6,2,999,99,99,1.5,11.76,7.67,323,9999,999,23.6,999,99,99
2018,1,2,6,32,999,99,99,1.5,14.29,7.96,321,9999,999,23.6,999,99,99
2018,1,2,7,2,999,99,99,1.56,13.33,7.84,309,9999,999,23.7,999,99,99
2018,1,2,7,32,999,99,99,1.59,11.76,7.97,323,9999,999,23.8,999,99,99
2018,1,2,8,2,999,99,99,1.67,11.76,8.3,324,9999,999,23.8,999,99,99
2018,1,2,8,32,999,99,99,1.61,12.5,8.3,320,9999,999,23.8,999,99,99
2018,1,2,9,2,999,99,99,1.48,11.76,8.01,316,9999,999,23.8,999,99,99
2018,1,2,9,32,999,99,99,1.49,13.33,7.67,320,9999,999,23.8,999,99,99
2018,1,2,10,2,999,99,99,1.57,13.33,7.59,317,9999,999,23.8,999,99,99
2018,1,2,10,32,999,99,99,1.76,13.33,8.12,313,9999,999,23.8,999,99,99
2018,1,2,11,2,999,99,99,1.57,11.76,7.28,323,9999,999,23.8,999,99,99
2018,1,2,12,2,999,99,99,1.59,12.5,8.21,314,9999,999,23.8,999,99,99
2018,1,2,12,32,999,99,99,1.53,13.33,7.6,294,9999,999,23.8,999,99,99
2018,1,2,13,2,999,99,99,1.49,12.5,7.08,307,9999,999,23.8,999,99,99
2018,1,2,13,32,999,99,99,1.67,13.33,7.63,313,9999,999,23.8,999,99,99
