#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2019,1,2,10,12,999,99,99,1.77,16.67,8.73,306,9999,999,23.5,999,99,99
2019,1,2,10,42,999,99,99,1.92,16.67,9.09,303,9999,999,23.5,999,99,99
2019,1,2,11,12,999,99,99,2,14.29,9.21,309,9999,999,23.5,999,99,99
2019,1,2,11,42,999,99,99,2.07,15.38,9.82,307,9999,999,23.5,999,99,99
2019,1,2,12,12,999,99,99,1.85,15.38,8.38,306,9999,999,23.5,999,99,99
2019,1,2,20,42,999,99,99,2.11,15.38,8.45,306,9999,999,23.7,999,99,99
2019,1,2,21,12,999,99,99,2.25,14.29,8.99,306,9999,999,23.7,999,99,99
2019,1,2,21,42,999,99,99,2.12,15.38,8.82,307,9999,999,23.7,999,99,99
2019,1,2,22,12,999,99,99,2.14,15.38,8.64,304,9999,999,23.7,999,99,99
2019,1,2,22,42,999,99,99,2.01,14.29,8.23,309,9999,999,23.7,999,99,99
2019,1,2,23,12,999,99,99,2.08,15.38,8.49,300,9999,999,23.7,999,99,99
2019,1,2,23,42,999,99,99,2.19,14.29,9.26,304,9999,999,23.7,999,99,99
2019,1,3,0,12,999,99,99,2.13,15.38,8.93,304,9999,999,23.7,999,99,99
2019,1,3,0,42,999,99,99,2.06,14.29,8.84,309,9999,999,23.7,999,99,99
2019,1,3,1,12,999,99,99,1.96,14.29,8.93,303,9999,999,23.7,999,99,99
2019,1,3,1,42,999,99,99,2,13.33,8.96,306,9999,999,23.7,999,99,99
2019,1,3,2,12,999,99,99,1.96,15.38,9.08,297,9999,999,23.7,999,99,99
2019,1,3,2,42,999,99,99,1.95,14.29,9.21,307,9999,999,23.7,999,99,99
2019,1,3,3,12,999,99,99,1.79,15.38,8.75,307,9999,999,23.7,999,99,99
2019,1,3,3,42,999,99,99,2.15,15.38,10.06,306,9999,999,23.6,999,99,99
2019,1,3,4,12,999,99,99,2.06,15.38,9.86,300,9999,999,23.6,999,99,99
2019,1,3,4,42,999,99,99,2.04,15.38,9.66,302,9999,999,23.6,999,99,99
2019,1,3,5,12,999,99,99,1.98,15.38,9.51,304,9999,999,23.6,999,99,99
2019,1,3,5,42,999,99,99,1.79,15.38,8.87,309,9999,999,23.6,999,99,99
2019,1,3,6,12,999,99,99,2.02,15.38,9.49,311,9999,999,23.6,999,99,99
2019,1,3,6,42,999,99,99,1.79,14.29,8.99,314,9999,999,23.6,999,99,99
2019,1,3,7,12,999,99,99,2.04,15.38,9.72,314,9999,999,23.6,999,99,99
2019,1,3,7,42,999,99,99,2.13,14.29,9.41,317,9999,999,23.6,999,99,99
2019,1,3,8,12,999,99,99,1.89,15.38,8.71,316,9999,999,23.6,999,99,99
2019,1,3,8,42,999,99,99,1.94,13.33,8.81,318,9999,999,23.6,999,99,99
2019,1,3,9,12,999,99,99,2.24,15.38,9.63,314,9999,999,23.6,999,99,99
2019,1,3,9,42,999,99,99,2.29,14.29,9.39,317,9999,999,23.6,999,99,99
2019,1,3,10,12,999,99,99,2.22,14.29,9.51,313,9999,999,23.6,999,99,99
2019,1,3,10,42,999,99,99,2.1,14.29,9.35,314,9999,999,23.6,999,99,99
2019,1,3,11,12,999,99,99,2.25,13.33,9.03,310,9999,999,23.6,999,99,99
2019,1,3,11,42,999,99,99,2.28,14.29,9.11,313,9999,999,23.6,999,99,99
2019,1,3,12,12,999,99,99,2.28,14.29,9.14,311,9999,999,23.6,999,99,99
2019,1,3,12,42,999,99,99,2.15,14.29,8.61,310,9999,999,23.6,999,99,99
2019,1,3,13,12,999,99,99,2.26,14.29,8.71,321,9999,999,23.6,999,99,99
2019,1,3,13,42,999,99,99,2.11,14.29,8.73,318,9999,999,23.6,999,99,99
2019,1,3,14,12,999,99,99,2.08,15.38,8.69,309,9999,999,23.6,999,99,99
2019,1,3,14,42,999,99,99,1.96,15.38,8.68,311,9999,999,23.6,999,99,99
2019,1,3,15,12,999,99,99,2.05,14.29,8.91,307,9999,999,23.6,999,99,99
2019,1,3,15,42,999,99,99,2.02,14.29,8.61,320,9999,999,23.6,999,99,99
2019,1,3,16,12,999,99,99,2.29,14.29,9.24,314,9999,999,23.5,999,99,99
2019,1,3,16,42,999,99,99,2.12,13.33,8.94,324,9999,999,23.6,999,99,99
2019,1,3,17,12,999,99,99,2.34,14.29,9.63,316,9999,999,23.6,999,99,99
2019,1,3,17,42,999,99,99,2,13.33,8.99,303,9999,999,23.6,999,99,99
2019,1,3,18,12,999,99,99,2.17,14.29,9.92,316,9999,999,23.6,999,99,99
2019,1,3,18,42,999,99,99,2.16,13.33,9.8,320,9999,999,23.6,999,99,99
2019,1,3,19,42,999,99,99,2.19,14.29,9.11,314,9999,999,23.6,999,99,99
2019,1,3,20,12,999,99,99,2.25,13.33,9.05,306,9999,999,23.6,999,99,99
2019,1,3,20,42,999,99,99,2.23,15.38,8.86,307,9999,999,23.6,999,99,99
2019,1,3,21,12,999,99,99,2.19,13.33,8.78,314,9999,999,23.6,999,99,99
2019,1,3,21,42,999,99,99,2.27,12.5,9.09,304,9999,999,23.7,999,99,99
2019,1,3,22,12,999,99,99,2.24,14.29,8.87,300,9999,999,23.7,999,99,99
2019,1,3,22,42,999,99,99,2.16,16.67,8.5,302,9999,999,23.7,999,99,99
2019,1,3,23,12,999,99,99,2.26,15.38,8.52,297,9999,999,23.7,999,99,99
2019,1,3,23,42,999,99,99,2.37,13.33,8.56,309,9999,999,23.7,999,99,99
2019,1,4,0,12,999,99,99,2.65,14.29,9.56,307,9999,999,23.7,999,99,99
2019,1,4,0,42,999,99,99,2.12,13.33,8.23,303,9999,999,23.7,999,99,99
2019,1,4,1,12,999,99,99,2.36,13.33,8.62,314,9999,999,23.7,999,99,99
2019,1,4,1,42,999,99,99,2.2,15.38,8.16,306,9999,999,23.7,999,99,99
2019,1,4,2,12,999,99,99,2.23,14.29,8.04,302,9999,999,23.6,999,99,99
2019,1,4,2,42,999,99,99,2.17,13.33,7.69,309,9999,999,23.6,999,99,99
2019,1,4,3,12,999,99,99,2.23,15.38,7.91,297,9999,999,23.6,999,99,99
2019,1,4,3,42,999,99,99,2.07,15.38,7.62,299,9999,999,23.6,999,99,99
2019,1,4,4,12,999,99,99,2.08,14.29,7.69,309,9999,999,23.6,999,99,99
2019,1,4,4,42,999,99,99,2.05,13.33,7.49,306,9999,999,23.6,999,99,99
2019,1,4,5,12,999,99,99,2.34,15.38,8.47,303,9999,999,23.6,999,99,99
2019,1,4,5,42,999,99,99,2.28,14.29,7.98,314,9999,999,23.6,999,99,99
2019,1,4,6,12,999,99,99,2.13,13.33,7.87,317,9999,999,23.6,999,99,99
2019,1,4,6,42,999,99,99,2.03,14.29,7.23,318,9999,999,23.6,999,99,99
2019,1,4,7,12,999,99,99,2.27,14.29,7.94,310,9999,999,23.6,999,99,99
2019,1,4,7,42,999,99,99,2.25,14.29,7.31,310,9999,999,23.6,999,99,99
2019,1,4,8,12,999,99,99,2.12,15.38,7.02,306,9999,999,23.6,999,99,99
2019,1,4,8,42,999,99,99,2.36,14.29,7.8,316,9999,999,23.6,999,99,99
2019,1,4,9,12,999,99,99,2.11,14.29,7.16,306,9999,999,23.5,999,99,99
2019,1,4,9,42,999,99,99,2.27,15.38,7.99,316,9999,999,23.5,999,99,99
2019,1,4,10,12,999,99,99,2.25,13.33,7.89,314,9999,999,23.5,999,99,99
2019,1,4,10,42,999,99,99,2.3,14.29,7.65,318,9999,999,23.5,999,99,99
2019,1,4,11,12,999,99,99,2.29,14.29,6.95,307,9999,999,23.5,999,99,99
2019,1,4,11,42,999,99,99,2.38,13.33,7.07,316,9999,999,23.5,999,99,99
2019,1,4,12,12,999,99,99,2.43,14.29,7.44,316,9999,999,23.5,999,99,99
2019,1,4,12,42,999,99,99,2.45,14.29,7.5,314,9999,999,23.5,999,99,99
2019,1,4,13,12,999,99,99,2.15,14.29,6.64,302,9999,999,23.4,999,99,99
2019,1,4,13,42,999,99,99,2.08,14.29,6.7,304,9999,999,23.4,999,99,99
2019,1,4,14,12,999,99,99,2.27,14.29,7.29,311,9999,999,23.4,999,99,99
2019,1,4,15,42,999,99,99,2.05,13.33,7.12,304,9999,999,23.4,999,99,99
2019,1,4,16,12,999,99,99,2.16,13.33,7.35,318,9999,999,23.4,999,99,99
2019,1,4,16,42,999,99,99,2.06,14.29,6.8,323,9999,999,23.4,999,99,99
2019,1,4,17,12,999,99,99,1.93,14.29,6.99,309,9999,999,23.4,999,99,99
2019,1,4,17,42,999,99,99,1.9,14.29,6.69,320,9999,999,23.4,999,99,99
2019,1,4,18,12,999,99,99,1.79,14.29,7.09,318,9999,999,23.4,999,99,99
2019,1,4,18,42,999,99,99,1.78,13.33,7.24,317,9999,999,23.4,999,99,99
2019,1,4,19,12,999,99,99,1.72,12.5,6.97,324,9999,999,23.4,999,99,99
2019,1,4,19,42,999,99,99,1.69,12.5,7.13,331,9999,999,23.4,999,99,99
2019,1,4,20,12,999,99,99,1.76,13.33,7.1,310,9999,999,23.4,999,99,99
2019,1,4,20,42,999,99,99,1.68,11.76,6.41,323,9999,999,23.4,999,99,99
2019,1,4,21,12,999,99,99,1.98,13.33,6.85,321,9999,999,23.5,999,99,99
2019,1,4,21,42,999,99,99,1.89,14.29,6.42,314,9999,999,23.5,999,99,99
2019,1,4,22,12,999,99,99,1.86,14.29,6.33,321,9999,999,23.5,999,99,99
2019,1,4,22,42,999,99,99,1.77,14.29,6.45,311,9999,999,23.5,999,99,99
2019,1,4,23,12,999,99,99,1.77,14.29,6.36,304,9999,999,23.5,999,99,99
2019,1,4,23,42,999,99,99,1.73,12.5,6.82,323,9999,999,23.5,999,99,99
2019,1,5,0,12,999,99,99,1.81,14.29,6.66,297,9999,999,23.5,999,99,99
2019,1,5,0,42,999,99,99,1.84,12.5,6.77,317,9999,999,23.5,999,99,99
2019,1,5,1,12,999,99,99,1.67,11.76,6.27,320,9999,999,23.5,999,99,99
2019,1,5,1,42,999,99,99,1.77,12.5,6.71,314,9999,999,23.5,999,99,99
2019,1,5,2,12,999,99,99,1.75,13.33,6.55,304,9999,999,23.4,999,99,99
2019,1,5,2,42,999,99,99,1.74,11.76,6.46,311,9999,999,23.4,999,99,99
2019,1,5,3,12,999,99,99,1.69,12.5,6.4,320,9999,999,23.4,999,99,99
2019,1,5,3,42,999,99,99,1.79,13.33,6.65,310,9999,999,23.4,999,99,99
2019,1,5,4,12,999,99,99,1.78,13.33,6.55,304,9999,999,23.4,999,99,99
2019,1,5,4,42,999,99,99,1.92,12.5,6.89,321,9999,999,23.4,999,99,99
2019,1,5,5,12,999,99,99,1.93,11.76,7.06,321,9999,999,23.4,999,99,99
2019,1,5,5,42,999,99,99,1.84,7.14,6.78,9,9999,999,23.4,999,99,99
2019,1,5,6,12,999,99,99,2.1,7.69,7.3,2,9999,999,23.4,999,99,99
2019,1,5,6,42,999,99,99,2.21,7.69,7.34,3,9999,999,23.4,999,99,99
2019,1,5,7,12,999,99,99,2.11,13.33,7.29,321,9999,999,23.4,999,99,99
2019,1,5,7,42,999,99,99,2.12,7.69,7.31,16,9999,999,23.4,999,99,99
2019,1,5,8,12,999,99,99,2.13,7.14,7.13,19,9999,999,23.4,999,99,99
2019,1,5,8,42,999,99,99,2.17,7.69,7.2,16,9999,999,23.5,999,99,99
2019,1,5,9,12,999,99,99,2.21,7.69,7.16,16,9999,999,23.5,999,99,99
2019,1,5,9,42,999,99,99,2.18,13.33,7.4,316,9999,999,23.4,999,99,99
2019,1,5,10,12,999,99,99,2.18,14.29,7.12,335,9999,999,23.4,999,99,99
2019,1,5,10,42,999,99,99,2.09,14.29,7.15,338,9999,999,23.4,999,99,99
2019,1,5,11,12,999,99,99,1.91,13.33,7.31,339,9999,999,23.4,999,99,99
2019,1,5,11,42,999,99,99,1.93,13.33,7.21,328,9999,999,23.4,999,99,99
2019,1,5,12,12,999,99,99,1.91,13.33,7.47,327,9999,999,23.4,999,99,99
2019,1,5,12,42,999,99,99,2.17,13.33,7.35,330,9999,999,23.4,999,99,99
2019,1,5,13,12,999,99,99,1.86,13.33,7.22,325,9999,999,23.4,999,99,99
2019,1,5,13,42,999,99,99,2.06,13.33,7.6,342,9999,999,23.4,999,99,99
2019,1,5,14,12,999,99,99,1.96,12.5,7.38,337,9999,999,23.4,999,99,99
2019,1,5,14,42,999,99,99,2.01,13.33,7.14,331,9999,999,23.4,999,99,99
2019,1,5,15,12,999,99,99,1.95,12.5,6.94,330,9999,999,23.4,999,99,99
2019,1,5,15,42,999,99,99,2.08,13.33,7.06,331,9999,999,23.4,999,99,99
2019,1,5,16,12,999,99,99,2.11,12.5,7.18,337,9999,999,23.4,999,99,99
2019,1,5,16,42,999,99,99,2.01,11.76,6.86,330,9999,999,23.4,999,99,99
2019,1,5,17,12,999,99,99,2.03,12.5,6.89,327,9999,999,23.4,999,99,99
2019,1,5,17,42,999,99,99,1.92,12.5,6.93,321,9999,999,23.4,999,99,99
2019,1,5,18,12,999,99,99,1.91,12.5,6.88,328,9999,999,23.4,999,99,99
2019,1,5,18,42,999,99,99,2.05,12.5,7.12,331,9999,999,23.4,999,99,99
2019,1,5,19,12,999,99,99,1.98,12.5,7.32,334,9999,999,23.4,999,99,99
2019,1,5,19,42,999,99,99,1.89,11.76,7.29,347,9999,999,23.4,999,99,99
2019,1,5,20,12,999,99,99,1.97,11.11,7.46,347,9999,999,23.4,999,99,99
2019,1,5,20,42,999,99,99,1.88,12.5,7.38,323,9999,999,23.4,999,99,99
2019,1,5,21,12,999,99,99,1.91,11.11,6.8,341,9999,999,23.4,999,99,99
2019,1,5,21,42,999,99,99,2.06,12.5,7.17,334,9999,999,23.4,999,99,99
2019,1,5,22,12,999,99,99,2.06,12.5,7.26,332,9999,999,23.5,999,99,99
2019,1,5,22,42,999,99,99,1.98,11.76,6.88,327,9999,999,23.5,999,99,99
2019,1,5,23,12,999,99,99,1.87,11.11,6.79,341,9999,999,23.5,999,99,99
2019,1,5,23,42,999,99,99,1.99,12.5,6.93,334,9999,999,23.5,999,99,99
2019,1,6,0,12,999,99,99,1.83,11.76,6.8,327,9999,999,23.5,999,99,99
2019,1,6,0,42,999,99,99,1.96,11.76,7.14,331,9999,999,23.5,999,99,99
2019,1,6,1,12,999,99,99,1.85,12.5,6.97,334,9999,999,23.5,999,99,99
2019,1,6,1,42,999,99,99,1.83,11.11,7.18,337,9999,999,23.5,999,99,99
2019,1,6,2,12,999,99,99,1.87,11.11,7.27,327,9999,999,23.5,999,99,99
2019,1,6,2,42,999,99,99,1.71,11.76,6.76,323,9999,999,23.5,999,99,99
2019,1,6,3,12,999,99,99,1.68,11.11,6.7,339,9999,999,23.5,999,99,99
2019,1,6,3,42,999,99,99,1.7,11.76,7.11,330,9999,999,23.5,999,99,99
2019,1,6,4,12,999,99,99,1.63,11.76,6.89,334,9999,999,23.5,999,99,99
2019,1,6,4,42,999,99,99,1.61,10.53,7.16,348,9999,999,23.5,999,99,99
2019,1,6,5,12,999,99,99,1.55,11.76,7.17,327,9999,999,23.5,999,99,99
2019,1,6,5,42,999,99,99,1.58,11.76,7.36,332,9999,999,23.5,999,99,99
2019,1,6,6,12,999,99,99,1.48,11.11,7.2,332,9999,999,23.5,999,99,99
2019,1,6,6,42,999,99,99,1.49,11.76,7.31,341,9999,999,23.5,999,99,99
