#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
#yr,mo,dy,hr,mn,m,m,sec,m,sec,-,degT,-,sec,degT
2022,3,13,15,56,1.2,0.9,12.5,0.8,9.9,NNW,NNW,SWELL,7.9,329
2022,3,13,15,26,1.2,0.9,12.5,0.8,7.7,NW,NNE,SWELL,7.6,322
2022,3,13,14,56,1.3,1,13.3,0.8,8.3,NW,NNE,SWELL,7.8,319
2022,3,13,14,26,1.3,1,13.3,0.8,9.1,NW,NNW,SWELL,7.5,319
2022,3,13,13,56,1.2,0.8,12.5,0.8,9.9,NW,NW,SWELL,6.9,311
2022,3,13,13,26,1.3,1,12.5,0.9,9.9,NW,NNW,SWELL,7.2,318
2022,3,13,12,56,1.2,0.9,12.5,0.8,9.1,NW,N,SWELL,6.8,315
2022,3,13,12,26,1.2,0.9,12.5,0.8,9.9,NW,NW,SWELL,7.5,319
2022,3,13,11,56,1.2,0.8,13.3,0.8,9.9,NW,NNW,SWELL,7.2,318
2022,3,13,11,26,1.2,0.9,13.3,0.8,9.9,NW,NW,SWELL,7.5,311
2022,3,13,10,56,1.3,1,13.3,0.8,9.9,NW,NNW,SWELL,7.8,317
2022,3,13,10,26,1.2,0.9,13.3,0.8,9.1,NW,N,SWELL,7.4,314
2022,3,13,9,56,1.3,1,13.3,0.8,9.9,NW,NNW,SWELL,7.8,324
2022,3,13,9,26,1.2,0.8,14.3,0.8,9.1,NW,N,SWELL,6.9,305
2022,3,13,8,56,1.1,0.8,13.3,0.8,9.9,NW,NNW,SWELL,7.1,319
2022,3,13,8,26,1.4,1.1,13.3,0.9,9.9,NW,N,SWELL,8.1,318
2022,3,13,7,56,1.4,1,13.3,0.9,9.9,NW,NNW,SWELL,8,326
2022,3,13,7,26,1.2,0.8,13.3,0.9,9.9,NW,NNW,AVERAGE,7.2,315
2022,3,13,6,56,1.3,1,14.3,0.8,9.9,NW,NNW,SWELL,8,324
2022,3,13,6,26,1.2,0.8,13.3,0.8,9.1,NW,N,SWELL,7.6,324
2022,3,13,5,56,1.3,0.9,13.3,0.8,9.1,NW,N,SWELL,8.2,318
2022,3,13,5,26,1.3,1,14.3,0.9,9.9,NW,NNW,SWELL,7.9,319
2022,3,13,4,56,1.3,1,12.5,0.9,9.9,NW,NW,SWELL,8,324
2022,3,13,4,26,1.2,0.8,13.3,0.9,9.1,NW,NNW,AVERAGE,6.8,326
2022,3,13,3,56,1.4,1,11.1,1,9.1,NW,N,SWELL,7.1,318
2022,3,13,3,26,1.3,0.9,13.3,0.9,9.1,NW,N,SWELL,7,311
2022,3,13,2,56,1.4,1,14.3,1,9.9,NW,NW,SWELL,7,314
2022,3,13,2,26,1.4,1.1,14.3,0.9,9.1,NW,MM,SWELL,7.5,314
2022,3,13,1,56,1.4,1,12.5,0.9,9.9,NW,NW,SWELL,7.3,318
2022,3,13,1,26,1.4,1,11.1,0.9,9.9,NW,NW,SWELL,7,314
2022,3,13,0,56,1.4,1,14.3,0.9,9.9,NW,NNW,SWELL,6.8,321
2022,3,13,0,26,1.5,1.1,13.3,1,9.1,NW,N,SWELL,7.4,318
2022,3,12,23,56,1.4,1.1,12.5,0.9,9.9,NW,NW,SWELL,7.4,311
2022,3,12,23,26,1.4,1.1,13.3,1,9.9,NW,NNW,SWELL,7.2,308
2022,3,12,22,56,1.4,1.1,14.3,0.9,8.3,NW,NNE,SWELL,7.4,305
2022,3,12,22,26,1.5,1.1,14.3,1,9.9,WNW,NW,SWELL,7.4,298
2022,3,12,21,56,1.3,0.9,13.3,0.9,8.3,NW,NNE,SWELL,6.6,314
2022,3,12,21,26,1.6,1.2,14.3,1,9.9,NW,NNW,SWELL,7.6,314
2022,3,12,20,56,1.4,1.1,14.3,1,9.9,NW,NNW,SWELL,7,314
2022,3,12,20,26,1.4,1.1,14.3,0.9,9.9,NW,NNW,SWELL,7.1,307
2022,3,12,19,56,1.5,1.2,14.3,0.9,9.9,NW,NNW,SWELL,7.7,318
2022,3,12,19,26,1.4,1.2,15.4,0.8,9.9,NW,NNW,SWELL,7.9,311
2022,3,12,18,56,1.4,1.1,14.3,0.8,9.1,NW,N,SWELL,8.5,322
2022,3,12,18,26,1.5,1.2,13.3,0.8,9.9,NW,NNW,SWELL,9,314
2022,3,12,17,56,1.3,1.1,14.3,0.7,8.3,NNW,NNE,SWELL,8.6,331
2022,3,12,17,26,1.6,1.5,14.3,0.7,9.9,NW,NNW,SWELL,10.1,325
2022,3,12,16,56,1.4,1.2,14.3,0.8,9.9,NW,NNW,SWELL,8.9,325
2022,3,12,16,26,1.4,1.1,15.4,0.8,9.1,NW,NNE,SWELL,8.5,325
2022,3,12,15,56,1.5,1.3,14.3,0.8,9.9,NW,NNW,SWELL,9.1,322
2022,3,12,15,26,1.4,1.2,13.3,0.7,9.9,NW,NNW,SWELL,9.1,317
2022,3,12,14,56,1.5,1.2,15.4,0.8,8.3,NW,NNE,SWELL,8.8,317
2022,3,12,14,26,1.5,1.3,14.3,0.8,9.1,NW,NNE,SWELL,9,311
2022,3,12,13,56,1.5,1.3,14.3,0.8,9.1,NW,NNE,SWELL,9,314
2022,3,12,13,26,1.3,1,14.3,0.8,8.3,NW,NNE,SWELL,7.7,326
2022,3,12,12,56,1.6,1.4,14.3,0.8,8.3,NW,NNE,SWELL,9.1,315
2022,3,12,12,26,1.6,1.4,13.3,0.8,9.9,NW,NNW,SWELL,9.3,314
2022,3,12,11,56,1.5,1.3,15.4,0.8,9.1,NW,NNE,SWELL,9,317
2022,3,12,11,26,1.4,1.2,14.3,0.8,8.3,NW,NNE,SWELL,8.7,310
2022,3,12,10,56,1.5,1.3,15.4,0.8,9.9,NW,N,SWELL,8.9,318
2022,3,12,10,26,1.5,1.2,14.3,0.8,9.9,NW,NW,SWELL,8.1,312
2022,3,12,9,56,1.7,1.4,15.4,0.9,8.3,NW,NE,SWELL,8.8,314
2022,3,12,9,26,1.5,1.2,15.4,0.8,9.1,NW,NNE,SWELL,8.4,310
2022,3,12,8,56,1.4,1.2,13.3,0.8,8.3,NW,NNE,SWELL,8.1,312
2022,3,12,8,26,1.5,1.2,15.4,0.8,8.3,NW,NNE,SWELL,9,318
2022,3,12,7,56,1.6,1.3,14.3,0.8,9.9,NW,NNW,SWELL,9.4,318
2022,3,12,7,26,1.5,1.3,15.4,0.8,9.9,NW,NNW,SWELL,9.4,321
2022,3,12,6,56,1.4,1.2,15.4,0.8,8.3,NW,NE,SWELL,9.3,308
2022,3,12,6,26,1.4,1.2,15.4,0.7,9.1,NW,NE,SWELL,9.5,314
2022,3,12,5,56,1.6,1.4,15.4,0.8,8.3,NW,NE,SWELL,10,317
2022,3,12,5,26,1.6,1.4,15.4,0.7,8.3,NW,NE,SWELL,9.8,315
2022,3,12,4,56,1.4,1.2,13.3,0.8,9.9,NW,NNE,SWELL,8.9,325
2022,3,12,4,26,1.4,1.1,15.4,0.8,9.1,NW,NNE,SWELL,8.6,318
2022,3,12,3,56,1.5,1.3,14.3,0.8,8.3,NW,NE,SWELL,9,321
2022,3,12,3,26,1.7,1.5,14.3,0.8,8.3,NW,NE,SWELL,9.4,311
2022,3,12,2,56,1.4,1.2,15.4,0.8,8.3,NW,NE,SWELL,8.3,317
2022,3,12,2,26,1.7,1.5,15.4,0.8,9.1,NW,NNE,SWELL,9.2,311
2022,3,12,1,56,1.4,1.1,14.3,0.8,9.9,NW,N,SWELL,7.7,304
2022,3,12,1,26,1.3,1,15.4,0.9,8.3,NW,NE,SWELL,7.1,319
2022,3,12,0,56,1.6,1.3,14.3,0.8,8.3,NW,NE,SWELL,8.7,311
