#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2017,1,1,0,2,999,99,99,2.11,9.09,7.43,2,9999,999,24,999,99,99
2017,1,1,0,32,999,99,99,2.24,10.53,7.62,3,9999,999,24,999,99,99
2017,1,1,1,2,999,99,99,2.04,10.53,6.94,8,9999,999,24,999,99,99
2017,1,1,1,32,999,99,99,2.09,9.88,6.73,16,9999,999,24,999,99,99
2017,1,1,2,2,999,99,99,2.01,11.11,6.91,358,9999,999,24,999,99,99
2017,1,1,2,32,999,99,99,1.89,11.11,6.46,12,9999,999,24,999,99,99
2017,1,1,3,2,999,99,99,2,10.53,6.86,5,9999,999,24,999,99,99
2017,1,1,3,32,999,99,99,2.08,9.09,6.75,8,9999,999,24,999,99,99
2017,1,1,4,2,999,99,99,2.03,10.53,6.74,5,9999,999,24,999,99,99
2017,1,1,4,32,999,99,99,2.12,9.88,6.96,10,9999,999,24,999,99,99
2017,1,1,5,2,999,99,99,1.99,10.53,6.72,5,9999,999,24,999,99,99
2017,1,1,5,32,999,99,99,1.74,11.11,6.25,356,9999,999,24,999,99,99
2017,1,1,6,2,999,99,99,2.03,10.53,6.94,5,9999,999,23.9,999,99,99
2017,1,1,6,32,999,99,99,2.18,9.88,7.16,9,9999,999,23.9,999,99,99
2017,1,1,7,2,999,99,99,2.17,10.53,7.09,12,9999,999,23.9,999,99,99
2017,1,1,7,32,999,99,99,2.19,9.09,7.13,1,9999,999,23.9,999,99,99
2017,1,1,8,2,999,99,99,2.07,9.09,6.84,10,9999,999,23.9,999,99,99
2017,1,1,8,32,999,99,99,2.08,9.09,6.99,13,9999,999,23.9,999,99,99
2017,1,1,9,2,999,99,99,2.11,9.88,7.08,15,9999,999,23.9,999,99,99
2017,1,1,9,32,999,99,99,2.17,9.09,6.98,15,9999,999,23.9,999,99,99
2017,1,1,10,2,999,99,99,2.12,9.88,6.93,10,9999,999,23.9,999,99,99
2017,1,1,10,32,999,99,99,2.02,9.09,6.87,16,9999,999,23.9,999,99,99
2017,1,1,11,2,999,99,99,1.97,9.88,6.9,15,9999,999,23.9,999,99,99
2017,1,1,11,32,999,99,99,2.18,9.88,7.3,13,9999,999,23.9,999,99,99
2017,1,1,12,2,999,99,99,2.04,9.88,7.13,20,9999,999,23.9,999,99,99
2017,1,1,12,32,999,99,99,2.11,9.88,7.25,12,9999,999,23.9,999,99,99
2017,1,1,13,2,999,99,99,2.02,9.88,7.12,16,9999,999,23.9,999,99,99
2017,1,1,13,32,999,99,99,1.95,9.88,6.95,16,9999,999,23.9,999,99,99
2017,1,1,14,2,999,99,99,1.73,11.11,6.83,10,9999,999,23.9,999,99,99
2017,1,1,14,32,999,99,99,1.81,9.88,6.96,12,9999,999,23.9,999,99,99
2017,1,1,15,2,999,99,99,1.88,10.53,6.9,12,9999,999,23.9,999,99,99
2017,1,1,15,32,999,99,99,1.91,9.88,7.36,15,9999,999,23.9,999,99,99
