,year,event,round,heat,date,hour
21,2022,Billabong Pro Pipeline,Round 3,Heat 6,2/1/22,8.5
22,2022,Billabong Pro Pipeline,Round 3,Heat 7,2/1/22,9
23,2022,Billabong Pro Pipeline,Round 3,Heat 8,2/1/22,9.5
24,2022,Billabong Pro Pipeline,Round 3,Heat 9,2/1/22,10
25,2022,Billabong Pro Pipeline,Round 3,Heat 10,2/1/22,10.5
26,2022,Billabong Pro Pipeline,Round 3,Heat 11,2/1/22,11
27,2022,Billabong Pro Pipeline,Round 3,Heat 12,2/1/22,11.5
28,2022,Billabong Pro Pipeline,Round 3,Heat 13,2/1/22,12
29,2022,Billabong Pro Pipeline,Round 3,Heat 14,2/1/22,12.5
30,2022,Billabong Pro Pipeline,Round 3,Heat 15,2/1/22,13
31,2022,Billabong Pro Pipeline,Round 3,Heat 16,2/1/22,13.5
32,2022,Billabong Pro Pipeline,Round 4,Heat 1,2/1/22,14
33,2022,Billabong Pro Pipeline,Round 4,Heat 2,2/1/22,14.5
34,2022,Billabong Pro Pipeline,Round 4,Heat 3,2/1/22,15
35,2022,Billabong Pro Pipeline,Round 4,Heat 4,2/1/22,15.5
36,2022,Billabong Pro Pipeline,Round 4,Heat 5,2/1/22,16
37,2022,Billabong Pro Pipeline,Round 4,Heat 6,2/1/22,16.5
38,2022,Billabong Pro Pipeline,Round 4,Heat 7,2/1/22,17
39,2022,Billabong Pro Pipeline,Round 4,Heat 8,2/1/22,17.5
40,2022,Billabong Pro Pipeline,Quarterfinals,Heat 1,2/5/22,6
41,2022,Billabong Pro Pipeline,Quarterfinals,Heat 2,2/5/22,6.5
42,2022,Billabong Pro Pipeline,Quarterfinals,Heat 3,2/5/22,7
43,2022,Billabong Pro Pipeline,Quarterfinals,Heat 4,2/5/22,7.5
44,2022,Billabong Pro Pipeline,Semifinals,Heat 1,2/5/22,8
45,2022,Billabong Pro Pipeline,Semifinals,Heat 2,2/5/22,8.5
46,2022,Billabong Pro Pipeline,Final,Heat 1,2/5/22,9
