est_datetime,score
2016-12-19 13:30:00,6.85
2017-12-11 06:00:00,6.19
2017-12-11 06:30:00,6.803333333333334
2017-12-11 07:00:00,4.6066666666666665
2017-12-11 07:30:00,7.8
2017-12-11 08:00:00,8.21
2017-12-11 08:30:00,7.853333333333333
2017-12-11 09:00:00,9.58
2017-12-11 09:30:00,9.71
2017-12-11 10:00:00,3.4133333333333336
2017-12-16 06:00:00,8.229999999999999
2017-12-16 06:30:00,9.503333333333334
2017-12-16 07:00:00,10.18
2017-12-17 06:00:00,7.28
2017-12-17 06:30:00,8.684999999999999
2017-12-17 07:00:00,6.715
2017-12-17 07:30:00,0.0
2017-12-17 08:00:00,10.129999999999999
2017-12-17 08:30:00,8.5
2017-12-17 09:00:00,10.9
2017-12-17 09:30:00,8.25
2017-12-17 10:00:00,5.615
2017-12-17 10:30:00,7.135000000000001
2017-12-17 11:00:00,8.585
2017-12-17 11:30:00,8.94
2017-12-17 12:00:00,8.17
2017-12-17 12:30:00,10.280000000000001
2017-12-17 13:00:00,5.48
2017-12-17 13:30:00,4.82
2017-12-17 14:00:00,6.484999999999999
2017-12-17 14:30:00,9.75
2017-12-17 15:00:00,2.98
2017-12-17 15:30:00,7.915
2017-12-17 16:00:00,7.215
2017-12-17 16:30:00,9.53
2017-12-17 17:00:00,8.834999999999999
2017-12-17 17:30:00,7.855
2017-12-18 06:00:00,4.13
2017-12-18 06:30:00,5.533333333333334
2017-12-18 07:00:00,6.48
2017-12-18 07:30:00,4.77
2017-12-18 08:00:00,11.215
2017-12-18 08:30:00,6.2
2017-12-18 09:00:00,5.515000000000001
2017-12-18 09:30:00,3.62
2017-12-18 10:00:00,7.465
2017-12-18 10:30:00,7.32
2017-12-18 11:00:00,7.984999999999999
2017-12-18 11:30:00,5.92
2017-12-18 12:00:00,9.445
2017-12-18 12:30:00,7.795
2017-12-18 13:00:00,12.665000000000001
2018-12-12 06:00:00,5.7325
2018-12-12 06:30:00,3.7125000000000004
2018-12-12 07:00:00,5.51
2018-12-12 07:30:00,5.4399999999999995
2018-12-12 08:00:00,5.0125
2018-12-12 08:30:00,6.175
2018-12-12 09:00:00,7.41
2018-12-12 09:30:00,5.92
2018-12-12 10:00:00,4.5275
2018-12-12 10:30:00,5.35
2018-12-12 11:00:00,5.2524999999999995
2018-12-12 11:30:00,7.5024999999999995
2018-12-12 12:00:00,4.55
2018-12-12 12:30:00,4.8175
2018-12-12 13:00:00,5.6525
2018-12-13 06:00:00,5.71
2018-12-13 06:30:00,5.686666666666667
2018-12-13 07:00:00,7.863333333333333
2018-12-13 07:30:00,4.1000000000000005
2018-12-13 08:00:00,4.056666666666667
2018-12-13 08:30:00,10.303333333333333
2018-12-13 09:00:00,5.2
2018-12-13 09:30:00,3.5
2018-12-13 10:00:00,8.163333333333334
2018-12-13 10:30:00,9.776666666666666
2018-12-13 11:00:00,4.89
2018-12-13 11:30:00,5.713333333333334
2018-12-16 06:00:00,6.65
2018-12-16 06:30:00,5.535
2018-12-16 07:00:00,2.165
2018-12-16 07:30:00,4.61
2018-12-16 08:00:00,5.45
2018-12-16 08:30:00,2.8
2018-12-16 09:00:00,6.965
2018-12-16 09:30:00,3.7300000000000004
2018-12-16 10:00:00,4.665
2018-12-16 10:30:00,4.05
2018-12-16 11:00:00,1.735
2018-12-16 11:30:00,4.33
2018-12-16 12:00:00,5.6
2018-12-16 12:30:00,6.36
2018-12-16 13:00:00,5.85
2018-12-16 13:30:00,8.995000000000001
2018-12-16 14:00:00,6.62
2018-12-16 14:30:00,7.8
2018-12-16 15:00:00,3.955
2018-12-16 15:30:00,7.715
2018-12-16 16:00:00,3.4799999999999995
2018-12-16 16:30:00,5.005
2018-12-16 17:00:00,6.529999999999999
2018-12-16 17:30:00,6.72
2018-12-17 06:00:00,6.953333333333333
2018-12-17 06:30:00,9.31
2018-12-17 07:00:00,10.07
2018-12-17 07:30:00,7.246666666666667
2018-12-17 08:00:00,6.1
2018-12-17 08:30:00,10.26
2018-12-17 09:00:00,8.135
2018-12-17 09:30:00,8.1
2018-12-17 10:00:00,14.05
2018-12-17 10:30:00,9.684999999999999
2018-12-17 11:00:00,13.565000000000001
2019-12-10 06:00:00,8.733333333333333
2019-12-10 06:30:00,4.9799999999999995
2019-12-10 07:00:00,7.366666666666667
2019-12-10 07:30:00,5.763333333333333
2019-12-10 08:00:00,10.32
2019-12-10 08:30:00,10.633333333333333
2019-12-10 09:00:00,4.746666666666666
2019-12-10 09:30:00,6.653333333333333
2019-12-10 10:00:00,14.51
2019-12-10 10:30:00,8.443333333333333
2019-12-10 11:00:00,7.9433333333333325
2019-12-10 11:30:00,5.669999999999999
2019-12-10 12:00:00,8.286666666666667
2019-12-10 12:30:00,7.596666666666667
2019-12-10 13:00:00,7.146666666666666
2019-12-10 13:30:00,10.013333333333334
2019-12-11 06:00:00,7.865
2019-12-11 06:30:00,9.969999999999999
2019-12-11 07:00:00,10.9
2019-12-11 07:30:00,5.8500000000000005
2019-12-11 08:00:00,10.44
2019-12-11 08:30:00,9.645
2019-12-11 09:00:00,14.129999999999999
2019-12-11 09:30:00,15.78
2019-12-11 10:00:00,15.485
2019-12-11 10:30:00,6.635
2019-12-11 11:00:00,11.5
2019-12-11 11:30:00,8.32
2019-12-11 12:00:00,8.3
2019-12-11 12:30:00,9.219999999999999
2019-12-11 13:00:00,12.09
2019-12-11 13:30:00,9.25
2019-12-19 06:00:00,8.035
2019-12-19 06:30:00,6.885
2019-12-19 07:00:00,4.615
2019-12-19 07:30:00,6.765000000000001
2019-12-19 08:00:00,3.245
2019-12-19 08:30:00,4.78
2019-12-19 09:00:00,9.585
2019-12-19 09:30:00,11.465
2019-12-19 10:00:00,14.58
2019-12-19 10:30:00,11.1
2019-12-19 11:00:00,7.4350000000000005
2019-12-19 11:30:00,9.305
2019-12-19 12:00:00,8.67
2019-12-19 12:30:00,7.885
2019-12-19 13:00:00,14.25
2020-12-09 06:00:00,5.413333333333334
2020-12-09 06:30:00,5.2
2020-12-09 07:00:00,7.343333333333334
2020-12-09 07:30:00,7.0566666666666675
2020-12-09 08:00:00,6.756666666666667
2020-12-09 08:30:00,8.043333333333333
2020-12-09 09:00:00,11.936666666666667
2020-12-09 09:30:00,6.596666666666667
2020-12-09 10:00:00,11.176666666666668
2020-12-09 10:30:00,7.609999999999999
2020-12-09 11:00:00,10.81
2020-12-09 11:30:00,9.28
2020-12-14 06:00:00,0.0
2020-12-17 06:00:00,6.89
2020-12-17 06:30:00,5.489999999999999
2020-12-17 07:00:00,4.1000000000000005
2020-12-17 07:30:00,7.0
2020-12-17 08:00:00,6.715
2020-12-17 08:30:00,11.555
2020-12-17 09:00:00,11.355
2020-12-17 09:30:00,8.25
2020-12-17 10:00:00,7.535
2020-12-17 10:30:00,10.7
2020-12-17 11:00:00,13.95
2020-12-17 11:30:00,6.11
2020-12-17 12:00:00,8.135
2020-12-17 12:30:00,6.765
2020-12-17 13:00:00,9.350000000000001
2020-12-17 13:30:00,9.085
2020-12-17 14:00:00,9.115
2020-12-17 14:30:00,6.995
2020-12-17 15:00:00,9.5
2020-12-17 15:30:00,8.530000000000001
2020-12-17 16:00:00,7.115
2020-12-17 16:30:00,9.55
2020-12-20 06:00:00,12.67
2020-12-20 06:30:00,9.135
2020-12-20 07:00:00,6.815
2020-12-20 07:30:00,9.115
2020-12-20 08:00:00,11.934999999999999
2020-12-20 08:30:00,13.920000000000002
2020-12-20 09:00:00,4.065
2020-12-20 09:30:00,11.934999999999999
2020-12-20 10:00:00,8.095
2020-12-20 10:30:00,9.08
2020-12-20 11:00:00,10.585
2020-12-20 11:30:00,11.434999999999999
2022-01-29 06:00:00,8.933333333333334
2022-01-29 06:30:00,7.913333333333334
2022-01-29 07:00:00,10.246666666666668
2022-01-29 07:30:00,9.543333333333335
2022-01-29 08:00:00,5.753333333333334
2022-01-29 08:30:00,3.9333333333333336
2022-01-29 09:00:00,12.646666666666667
2022-01-29 09:30:00,5.986666666666667
2022-01-29 10:00:00,13.423333333333332
2022-01-29 10:30:00,15.790000000000001
2022-01-29 11:00:00,6.21
2022-01-29 11:30:00,9.200000000000001
2022-01-29 12:00:00,7.976666666666667
2022-01-29 12:30:00,13.853333333333333
2022-01-29 13:00:00,11.023333333333333
2022-01-29 13:30:00,5.41
2022-02-01 06:00:00,9.67
2022-02-01 06:30:00,6.6
2022-02-01 07:00:00,6.65
2022-02-01 07:30:00,8.495000000000001
2022-02-01 08:00:00,11.635
2022-02-01 08:30:00,9.969999999999999
2022-02-01 09:00:00,9.899999999999999
2022-02-01 09:30:00,11.665
2022-02-01 10:00:00,10.969999999999999
2022-02-01 10:30:00,11.135
2022-02-01 11:00:00,10.85
2022-02-01 11:30:00,9.985
2022-02-01 12:00:00,10.83
2022-02-01 12:30:00,10.485
2022-02-01 13:00:00,9.629999999999999
2022-02-01 13:30:00,12.0
2022-02-01 14:00:00,16.2
2022-02-01 14:30:00,11.1
2022-02-01 15:00:00,10.565000000000001
2022-02-01 15:30:00,1.5350000000000001
2022-02-01 16:00:00,5.75
2022-02-01 16:30:00,17.255
2022-02-01 17:00:00,9.030000000000001
2022-02-01 17:30:00,11.68
2022-02-05 06:00:00,10.835
2022-02-05 06:30:00,7.05
2022-02-05 07:00:00,17.3
2022-02-05 07:30:00,6.7
2022-02-05 08:00:00,9.629999999999999
2022-02-05 08:30:00,9.915
2022-02-05 09:00:00,15.649999999999999
