,year,event,round,heat,name,scores
40,2008,Quiksilver Pro Gold Coast,Round 1,Heat 4 ,Heitor Alves,"[1.1, 2.27, 1.5, 2.93, 7.67, 1.6, 8.17, 1.67]"
41,2008,Quiksilver Pro Gold Coast,Round 1,Heat 4 ,Pancho Sullivan,"[1.0, 2.83, 4.67, 4.5, 2.3, 1.77, 0.5, 8.4, 0.3, 5.0]"
42,2008,Quiksilver Pro Gold Coast,Round 1,Heat 4 ,Ricky Basnett,"[1.2, 1.33, 1.83, 6.5, 1.1, 3.1, 0.27, 1.0, 0.77, 1.27, 2.17]"
43,2008,Quiksilver Pro Gold Coast,Round 1,Heat 5 ,Mikael Picon,"[7.0, 5.5, 0.2, 3.9, 1.87, 0.77, 2.93]"
44,2008,Quiksilver Pro Gold Coast,Round 1,Heat 5 ,Andy Irons,"[0.43, 2.83, 3.83, 0.37, 1.5, 1.1, 0.4, 1.43, 0.47, 0.8, 7.67]"
45,2008,Quiksilver Pro Gold Coast,Round 1,Heat 5 ,Freddy Patacchia Jr.,[]
46,2008,Quiksilver Pro Gold Coast,Round 1,Heat 6 ,Bede Durbidge,"[2.0, 1.0, 6.17, 0.37, 1.13, 0.23, 8.0, 8.83, 1.0, 2.2]"
47,2008,Quiksilver Pro Gold Coast,Round 1,Heat 6 ,Leonardo Neves,"[5.17, 1.0, 1.67, 6.33, 3.37, 3.47, 0.5, 1.67, 8.23]"
48,2008,Quiksilver Pro Gold Coast,Round 1,Heat 6 ,Daniel Ross,"[3.67, 0.5, 3.5, 0.3, 5.9, 0.23, 1.07, 4.13, 0.37, 2.87, 2.6]"
49,2008,Quiksilver Pro Gold Coast,Round 1,Heat 7 ,Joel Parkinson,"[7.33, 0.5, 4.83, 7.77, 6.43, 3.93, 0.9]"
50,2008,Quiksilver Pro Gold Coast,Round 1,Heat 7 ,Neco Padaratz,"[2.17, 6.33, 1.93, 7.67, 0.5, 3.83, 1.97, 5.23, 2.43, 2.43, 0.73, 3.6]"
51,2008,Quiksilver Pro Gold Coast,Round 1,Heat 7 ,Nic Muscroft,"[5.67, 0.5, 0.3, 5.83, 1.5, 2.73, 0.3, 6.97]"
52,2008,Quiksilver Pro Gold Coast,Round 1,Heat 8 ,Mick Fanning,"[2.0, 5.83, 1.83, 6.27, 3.57, 3.43, 6.57, 8.67, 0.37, 2.13, 3.8]"
53,2008,Quiksilver Pro Gold Coast,Round 1,Heat 8 ,Mick Campbell,"[2.33, 0.77, 3.17, 4.5, 0.23, 1.97, 6.33, 3.57, 2.17, 4.1, 4.37]"
54,2008,Quiksilver Pro Gold Coast,Round 1,Heat 8 ,Tamaroa McComb,"[0.57, 1.07, 2.3, 0.93, 4.6, 1.57, 4.8, 1.0, 1.93, 2.73, 1.73, 2.33]"
55,2008,Quiksilver Pro Gold Coast,Round 1,Heat 9 ,Taj Burrow,"[1.5, 0.93, 2.07, 7.67, 8.83, 6.9]"
56,2008,Quiksilver Pro Gold Coast,Round 1,Heat 9 ,Adrian Buchan,"[4.0, 2.1, 2.93, 4.43, 1.0, 7.17, 8.93, 2.0]"
57,2008,Quiksilver Pro Gold Coast,Round 1,Heat 9 ,Julian Wilson,"[6.17, 1.87, 1.0, 4.27, 0.83, 4.33, 3.27]"
58,2008,Quiksilver Pro Gold Coast,Round 1,Heat 10 ,Kelly Slater,"[4.0, 3.0, 3.4, 4.83, 6.27, 2.0, 3.27, 7.07, 7.1]"
59,2008,Quiksilver Pro Gold Coast,Round 1,Heat 10 ,Rodrigo Dornelles,"[2.17, 0.5, 7.5, 4.07, 0.23, 1.0, 1.97, 6.1, 0.93, 4.6]"
60,2008,Quiksilver Pro Gold Coast,Round 1,Heat 10 ,Michel Bourez,"[1.77, 1.0, 0.87, 5.33, 5.17, 5.03, 2.43, 2.37, 0.43, 7.1, 5.37]"
61,2008,Quiksilver Pro Gold Coast,Round 1,Heat 11 ,Adriano de Souza,"[1.77, 6.5, 1.83, 6.0, 1.0, 7.17, 1.0, 0.73, 1.0, 1.63, 3.9]"
62,2008,Quiksilver Pro Gold Coast,Round 1,Heat 11 ,C.J. Hobgood,"[0.73, 5.23, 1.27, 0.63, 3.53, 2.1, 0.83]"
63,2008,Quiksilver Pro Gold Coast,Round 1,Heat 12 ,Kai Otton,[]
64,2008,Quiksilver Pro Gold Coast,Round 1,Heat 12 ,Travis Logie,"[0.83, 2.33, 0.63, 3.57, 7.0, 7.83, 2.3]"
65,2008,Quiksilver Pro Gold Coast,Round 1,Heat 12 ,Aritz Aranburu,"[6.67, 3.33, 2.37, 4.1, 6.17]"
66,2008,Quiksilver Pro Gold Coast,Round 1,Heat 13 ,Dayyan Neve,"[1.0, 3.33, 2.0, 4.17, 5.2, 4.43]"
67,2008,Quiksilver Pro Gold Coast,Round 1,Heat 13 ,Tom Whitaker,"[4.5, 2.0, 9.0, 7.17, 1.77, 0.67, 5.07, 0.87, 5.6]"
68,2008,Quiksilver Pro Gold Coast,Round 1,Heat 13 ,Tiago Pires,"[7.0, 1.5, 2.3, 1.7, 5.07, 1.0, 2.5]"
69,2008,Quiksilver Pro Gold Coast,Round 1,Heat 14 ,Taylor Knox,"[3.33, 1.0, 5.5, 1.03, 2.17, 3.83, 0.57, 6.33, 0.83, 1.43, 0.57, 1.0, 3.2]"
70,2008,Quiksilver Pro Gold Coast,Round 1,Heat 14 ,Ben Dunn,"[4.17, 0.5, 0.83, 8.93, 6.4, 1.93, 2.13, 4.4]"
71,2008,Quiksilver Pro Gold Coast,Round 1,Heat 14 ,Jay Thompson,"[5.5, 6.83, 2.33, 4.67, 5.1, 0.77, 6.73, 1.0]"
72,2008,Quiksilver Pro Gold Coast,Round 1,Heat 15 ,Luke Munro,"[1.0, 3.17, 1.5, 7.5, 0.5, 5.43, 5.67]"
73,2008,Quiksilver Pro Gold Coast,Round 1,Heat 15 ,Dane Reynolds,"[2.0, 0.33, 8.0, 0.37, 6.0, 2.33, 6.23, 0.2, 0.43, 9.5, 5.27]"
74,2008,Quiksilver Pro Gold Coast,Round 1,Heat 15 ,Damien Hobgood,"[1.5, 6.33, 1.0, 7.0, 1.67, 5.1, 7.2, 4.73, 9.0, 1.93]"
75,2008,Quiksilver Pro Gold Coast,Round 1,Heat 16 ,Luke Stedman,"[0.43, 0.43, 2.0, 1.5, 3.67, 4.83, 4.0, 2.27, 2.73]"
76,2008,Quiksilver Pro Gold Coast,Round 1,Heat 16 ,Tim Reyes,"[0.67, 4.87, 8.73, 5.73, 2.2, 5.93, 4.6]"
77,2008,Quiksilver Pro Gold Coast,Round 1,Heat 16 ,Jordy Smith,"[5.67, 2.4, 1.17, 5.5, 1.0, 0.97, 5.43]"
78,2008,Quiksilver Pro Gold Coast,Round 3,Heat 1 ,Bede Durbidge,"[3.67, 9.63, 3.67, 0.5, 8.0, 5.17]"
79,2008,Quiksilver Pro Gold Coast,Round 3,Heat 1 ,Kieren Perrow,"[2.83, 7.17, 5.27, 3.4, 2.57, 2.47]"
80,2008,Quiksilver Pro Gold Coast,Round 3,Heat 2 ,Ben Dunn,"[7.33, 5.0, 8.0, 1.0]"
81,2008,Quiksilver Pro Gold Coast,Round 3,Heat 2 ,Tom Whitaker,"[0.23, 6.5, 4.33, 1.0, 0.43, 0.3, 2.17]"
82,2008,Quiksilver Pro Gold Coast,Round 3,Heat 3 ,Taylor Knox,"[6.33, 5.17, 5.67, 6.23]"
83,2008,Quiksilver Pro Gold Coast,Round 3,Heat 3 ,Dayyan Neve,"[4.33, 7.33, 4.1, 5.1]"
84,2008,Quiksilver Pro Gold Coast,Round 3,Heat 4 ,Joel Parkinson,"[5.17, 8.83, 7.0, 1.0, 8.17, 0.8]"
85,2008,Quiksilver Pro Gold Coast,Round 3,Heat 4 ,Roy Powers,"[0.43, 1.23, 5.17, 3.67, 0.63, 1.6, 1.67, 3.5]"
86,2008,Quiksilver Pro Gold Coast,Round 3,Heat 5 ,Dean Morrison,"[8.0, 5.33, 8.1, 6.0]"
87,2008,Quiksilver Pro Gold Coast,Round 3,Heat 5 ,Dane Reynolds,"[2.17, 8.67, 3.5, 2.83, 4.0, 4.57, 4.6]"
88,2008,Quiksilver Pro Gold Coast,Round 3,Heat 6 ,Jordy Smith,"[1.5, 7.33, 9.33, 6.5, 3.07, 9.7]"
89,2008,Quiksilver Pro Gold Coast,Round 3,Heat 6 ,Bobby Martinez,"[2.83, 5.83, 6.77, 8.97, 1.0]"
